Date,Users,Sessions,Total Events
20161101,685,896,46267
20161102,351,467,21772
20161103,299,385,17045
20161104,266,339,17459
20161105,196,232,12511
20161106,203,250,11007
20161107,256,333,14461
20161108,223,301,10929
20161109,209,282,9470
20161110,197,258,11723
20161111,184,228,9753
20161112,165,200,8646
20161113,154,200,7181
20161114,268,345,17019
20161115,446,567,29636
20161116,744,1035,62436
20161117,527,713,45392
20161118,452,589,32738
20161119,1172,1714,109309
20161120,1389,1924,105108
20161121,935,1197,66840
20161122,810,1069,58666
20161123,1485,2119,128682
20161124,546,708,37044
20161125,567,724,37341
20161126,1414,2119,136252
20161127,1739,2586,169231
20161128,1112,1589,104742
20161129,646,851,45243
20161130,711,992,55793
