Date,Users,Sessions,Total Events
20170901,397,573,23911
20170902,264,365,16867
20170903,323,441,20064
20170904,446,659,38199
20170905,521,794,39603
20170906,454,670,33807
20170907,471,680,31937
20170908,415,596,27754
20170909,255,335,15792
20170910,207,268,10014
20170911,344,500,22595
20170912,383,560,22992
20170913,355,508,21916
20170914,362,517,21488
20170915,341,489,21638
20170916,220,289,13454
20170917,194,253,11459
20170918,368,535,23548
20170919,369,509,24972
20170920,441,631,29370
20170921,931,1355,71301
20170922,643,889,41833
20170923,247,320,13811
20170924,231,270,11177
20170925,273,404,14680
20170926,310,448,16159
20170927,324,475,19149
20170928,310,461,15566
20170929,301,427,16582
20170930,203,260,8665
