Date,Users,Sessions,Total Events
20170101,1525,2187,142630
20170102,3431,5458,356434
20170103,3423,5606,421027
20170104,4098,6795,542446
20170105,3448,5194,350833
20170106,2168,3016,159439
20170107,3087,4897,371366
20170108,3756,5746,378603
20170109,4107,6528,457969
20170110,5649,9228,704667
20170111,4955,8123,613374
20170112,4823,7473,486059
20170113,2620,3751,213362
20170114,1392,1816,102573
20170115,1124,1466,81527
20170116,1251,1708,90479
20170117,1385,2006,118191
20170118,3218,5418,407326
20170119,3367,5756,411457
20170120,3762,6166,395694
20170121,2260,3429,227049
20170122,6394,9025,489224
20170123,4078,6091,381302
20170124,1995,2810,153971
20170125,1453,1966,100632
20170126,1275,1732,88298
20170127,990,1299,61795
20170128,653,824,42187
20170129,622,771,37982
20170130,847,1088,46759
20170131,954,1357,70659
