Date,Users,Sessions,Total Events
20161001,138,175,7992
20161002,473,636,34943
20161003,531,711,39012
20161004,282,365,18719
20161005,226,304,14170
20161006,221,294,12282
20161007,191,251,9981
20161008,136,152,5420
20161009,122,147,6995
20161010,221,298,12733
20161011,211,275,10777
20161012,217,278,11794
20161013,341,485,30321
20161014,823,1162,64990
20161015,525,721,43230
20161016,771,1078,61147
20161017,717,979,55098
20161018,363,466,22602
20161019,284,392,18651
20161020,251,352,16918
20161021,228,301,11902
20161022,168,200,8542
20161023,175,235,12140
20161024,376,530,27595
20161025,126,137,8158
20161026,343,421,16566
20161027,606,772,41306
20161028,549,734,42226
20161029,300,366,17714
20161030,1386,1913,109076
20161031,802,1026,53725
