Date,Users,Sessions,Total Events
20170501,480,606,21174
20170502,389,508,18575
20170503,379,510,18215
20170504,409,561,19691
20170505,444,567,20079
20170506,592,775,35869
20170507,501,603,24232
20170508,433,552,22116
20170509,368,487,16623
20170510,361,481,16544
20170511,455,572,21994
20170512,528,687,27648
20170513,270,353,12784
20170514,343,411,14865
20170515,420,558,21558
20170516,599,804,37843
20170517,570,765,35036
20170518,550,777,42303
20170519,495,748,37942
20170520,243,297,11317
20170521,235,285,8538
20170522,363,504,17672
20170523,405,524,17751
20170524,467,593,18075
20170525,533,666,20632
20170526,389,526,23728
20170527,260,325,12184
20170528,220,276,10364
20170529,320,419,19917
20170530,332,464,17063
20170531,422,548,21220
