Date,Users,Sessions,Total Events
20170201,990,1377,64168
20170202,1590,2308,117633
20170203,2153,3431,206635
20170204,1145,1602,84035
20170205,1039,1484,88644
20170206,2177,3493,226109
20170207,2244,3540,204759
20170208,1852,2847,156318
20170209,2720,4250,233780
20170210,3020,4698,272156
20170211,1583,2284,115850
20170212,1314,1846,86979
20170213,1513,2112,100300
20170214,1244,1775,84925
20170215,1367,1955,91980
20170216,1813,2677,133668
20170217,2330,3836,234372
20170218,1515,2133,125332
20170219,1647,2348,134990
20170220,2849,4866,320240
20170221,3541,5844,378806
20170222,2955,4612,288528
20170223,2303,3381,188366
20170224,1603,2328,119320
20170225,1243,1707,91374
20170226,1073,1455,78122
20170227,1546,2242,130608
20170228,1116,1593,77745
