Date,Users,Sessions,Total Events
20170601,317,402,15134
20170602,301,411,13073
20170603,201,255,8956
20170604,215,268,8816
20170605,327,438,14390
20170606,316,403,13331
20170607,340,440,16126
20170608,438,589,22850
20170609,404,522,18795
20170610,274,336,13413
20170611,581,795,39388
20170612,800,1067,51402
20170613,425,538,20575
20170614,353,464,15116
20170615,375,481,17942
20170616,346,472,16532
20170617,240,288,10343
20170618,333,432,16312
20170619,404,519,19973
20170620,366,486,17817
20170621,347,461,15570
20170622,379,535,19831
20170623,365,496,16953
20170624,223,292,12426
20170625,235,293,12517
20170626,392,513,17296
20170627,365,480,16275
20170628,371,499,15243
20170629,328,435,16180
20170630,339,469,17961
