Date,Users,Sessions,Total Events
20161201,629,851,44934
20161202,527,679,33905
20161203,364,445,19083
20161204,418,541,32764
20161205,623,894,65910
20161206,913,1371,94304
20161207,1370,2011,137940
20161208,1979,3047,231294
20161209,1752,2448,142588
20161210,1558,2227,139001
20161211,878,1191,65548
20161212,976,1383,78132
20161213,1087,1587,89494
20161214,1536,2415,178498
20161215,2185,3554,235233
20161216,1857,2756,174692
20161217,911,1209,69892
20161218,653,820,44477
20161219,1029,1477,75239
20161220,874,1302,70612
20161221,921,1274,64187
20161222,908,1259,68543
20161223,2667,4431,314088
20161224,1626,2401,159343
20161225,895,1179,65758
20161226,961,1329,77923
20161227,1056,1558,91536
20161228,844,1200,60458
20161229,756,1026,50187
20161230,783,1048,57010
20161231,707,953,54027
