Hour of Day,Users,Sessions,Total Events
2016011022,17,19,292
2016011023,13,12,192
2016011100,7,7,134
2016011101,2,2,156
2016011102,1,1,5
2016011103,2,2,7
2016011104,1,1,173
2016011105,9,9,234
2016011106,21,21,776
2016011107,35,34,1336
2016011108,93,89,4519
2016011109,104,95,4987
2016011110,95,89,4846
2016011111,84,77,4160
2016011112,71,66,3427
2016011113,55,52,2549
2016011114,66,65,3040
2016011115,58,56,2075
2016011116,56,52,2900
2016011117,56,49,2892
2016011118,30,28,1521
2016011119,16,16,291
2016011120,22,22,690
2016011121,11,10,248
2016011122,17,16,1180
2016011123,9,7,157
2016011200,6,6,329
2016011201,4,2,74
2016011202,5,5,419
2016011203,5,5,139
2016011204,4,4,127
2016011205,13,12,195
2016011206,22,21,863
2016011207,41,41,1288
2016011208,76,73,3987
2016011209,93,86,4972
2016011210,89,79,3267
2016011211,79,67,4006
2016011212,57,52,3091
2016011213,63,61,3858
2016011214,51,50,2777
2016011215,77,72,5199
2016011216,66,63,4379
2016011217,63,58,3401
2016011218,40,38,1463
2016011219,19,18,432
2016011220,29,29,1107
2016011221,24,22,656
2016011222,30,30,1067
2016011223,22,19,983
2016011300,16,18,964
2016011301,11,7,588
2016011302,5,5,230
2016011303,5,5,134
2016011304,17,17,698
2016011305,23,23,610
2016011306,55,54,2085
2016011307,102,93,3672
2016011308,216,206,13897
2016011309,255,229,14048
2016011310,237,220,14432
2016011311,218,207,14811
2016011312,172,157,9377
2016011313,179,166,9651
2016011314,190,180,11706
2016011315,207,198,14002
2016011316,202,192,12101
2016011317,198,186,11983
2016011318,123,113,5829
2016011319,74,63,5060
2016011320,63,56,3517
2016011321,51,50,2580
2016011322,40,33,1855
2016011323,51,47,2116
2016011400,51,52,1946
2016011401,13,11,373
2016011402,7,7,217
2016011403,6,6,112
2016011404,13,13,418
2016011405,32,30,1464
2016011406,58,58,1493
2016011407,86,79,3916
2016011408,160,149,8342
2016011409,190,184,10267
2016011410,178,156,9715
2016011411,185,179,10922
2016011412,162,138,8903
2016011413,161,155,10075
2016011414,177,158,10265
2016011415,263,246,18988
2016011416,362,331,27115
2016011417,320,284,24267
2016011418,177,153,12286
2016011419,105,96,4565
2016011420,99,91,5844
2016011421,113,107,6459
2016011422,96,85,5504
2016011423,77,73,3823
2016011500,40,40,1551
2016011501,28,24,1142
2016011502,21,19,1105
2016011503,17,16,526
2016011504,21,19,781
2016011505,46,46,2538
2016011506,86,84,3318
2016011507,141,132,7814
2016011508,272,258,18798
2016011509,323,306,21397
2016011510,257,225,16452
2016011511,211,181,12689
2016011512,161,141,7540
2016011513,164,157,9187
2016011514,141,128,7241
2016011515,118,110,5213
2016011516,113,100,7014
2016011517,104,95,5046
2016011518,71,66,3212
2016011519,52,52,1940
2016011520,41,40,1927
2016011521,50,47,1712
2016011522,34,29,1596
2016011523,34,33,1667
2016011600,34,35,1234
2016011601,17,17,654
2016011602,5,2,274
2016011603,10,10,293
2016011604,11,11,447
2016011605,24,23,1027
2016011606,51,46,1645
2016011607,67,60,3163
2016011608,147,147,8869
2016011609,189,174,11499
2016011610,198,185,11860
2016011611,146,132,8355
2016011612,136,128,8724
2016011613,105,95,5525
2016011614,102,97,5800
2016011615,89,82,4921
2016011616,82,74,5687
2016011617,100,97,5250
2016011618,66,56,3356
2016011619,44,43,1484
2016011620,41,41,1509
2016011621,41,38,1840
2016011622,39,37,1332
2016011623,29,28,1302
2016011700,15,15,431
2016011701,10,10,286
2016011702,7,7,184
2016011703,2,2,89
2016011704,4,4,174
2016011705,18,18,678
2016011706,37,34,1176
2016011707,52,50,1906
2016011708,108,107,6407
2016011709,152,147,6832
2016011710,224,206,11126
2016011711,163,149,7909
2016011712,106,97,6006
2016011713,105,99,4765
2016011714,147,139,7366
2016011715,102,93,4898
