Hour of Day,Users,Sessions,Total Events
2016040803,2,2,6
2016040805,5,5,43
2016040806,11,10,591
2016040807,17,13,525
2016040808,43,38,1914
2016040809,38,30,1309
2016040810,38,33,929
2016040811,43,39,2470
2016040812,30,24,1058
2016040813,29,26,669
2016040814,26,22,701
2016040815,38,38,1405
2016040816,35,34,1981
2016040817,29,28,2193
2016040818,28,26,1083
2016040819,23,22,1288
2016040820,12,10,1324
2016040821,15,15,485
2016040822,12,10,208
2016040823,11,11,503
2016040900,6,6,285
2016040901,4,4,47
2016040902,1,1,7
2016040903,2,2,256
2016040904,1,1,4
2016040905,7,7,287
2016040906,6,5,128
2016040907,17,17,453
2016040908,38,38,1906
2016040909,58,54,2107
2016040910,56,50,3422
2016040911,34,30,1627
2016040912,30,29,1621
2016040913,27,26,1134
2016040914,30,32,1807
2016040915,32,30,1633
2016040916,26,23,1439
2016040917,22,22,1264
2016040918,38,37,1679
2016040919,38,35,1386
2016040920,29,28,1078
2016040921,28,28,1298
2016040922,15,15,541
2016040923,10,10,169
2016041000,9,9,201
2016041001,6,6,119
2016041002,4,4,214
2016041003,4,2,78
2016041004,2,2,15
2016041005,2,2,47
2016041006,9,7,133
2016041007,21,19,1046
2016041008,52,50,2774
2016041009,49,45,2186
2016041010,47,46,2778
2016041011,32,29,1682
2016041012,35,34,1254
2016041013,29,28,1171
2016041014,23,23,1526
2016041015,28,28,2059
2016041016,22,21,1661
2016041017,12,12,700
2016041018,26,24,1744
2016041019,13,12,504
2016041020,12,13,464
2016041021,15,12,626
2016041022,5,4,332
2016041023,9,7,474
2016041100,5,5,68
2016041101,1,1,19
2016041102,2,2,395
2016041103,1,1,452
2016041104,1,1,17
2016041105,7,9,71
2016041106,11,10,393
2016041107,13,12,560
2016041108,50,45,1411
2016041109,33,29,1141
2016041110,30,29,1918
2016041111,22,21,1802
2016041112,27,26,2101
2016041113,28,28,712
2016041114,28,27,1101
2016041115,17,17,676
2016041116,29,27,1112
2016041117,35,34,1016
2016041118,33,33,1484
2016041119,11,10,306
2016041120,5,5,105
2016041121,4,4,54
2016041122,9,9,145
2016041123,2,2,80
2016041200,2,2,40
2016041201,1,0,2
2016041202,2,2,7
2016041203,1,1,2
2016041204,1,1,6
2016041205,2,2,10
2016041206,9,9,77
2016041207,13,13,296
2016041208,32,30,1148
2016041209,43,39,1655
2016041210,29,26,1354
2016041211,23,19,2050
2016041212,28,28,750
2016041213,15,13,261
2016041214,16,13,723
2016041215,28,28,1441
2016041216,23,22,815
2016041217,16,16,666
2016041218,13,13,548
2016041219,12,12,598
2016041220,21,19,906
2016041221,11,11,454
2016041222,10,10,287
2016041223,6,6,141
2016041302,4,4,251
2016041303,1,1,5
2016041304,4,4,10
2016041305,7,7,150
2016041306,10,9,483
2016041307,22,21,661
2016041308,30,29,1090
2016041309,33,27,928
2016041310,35,34,905
2016041311,23,22,1108
2016041312,19,17,714
2016041313,23,22,789
2016041314,27,24,1077
2016041315,23,23,812
2016041316,16,15,1441
2016041317,22,21,817
2016041318,27,24,1583
2016041319,9,6,423
2016041320,11,11,246
2016041321,12,11,167
2016041322,16,16,614
2016041323,12,12,141
2016041400,2,2,21
2016041401,1,1,138
2016041402,2,2,66
2016041403,4,4,286
2016041404,7,7,205
2016041405,17,17,616
2016041406,27,26,1605
2016041407,72,68,3762
2016041408,91,89,4990
2016041409,79,77,4224
2016041410,71,63,3925
2016041411,50,46,2220
2016041412,47,45,2747
2016041413,51,50,3730
2016041414,43,40,2253
2016041415,51,50,2509
2016041416,49,49,2515
2016041417,39,38,2076
2016041418,30,27,1584
2016041419,21,15,633
2016041420,13,13,690
2016041421,13,12,453
2016041422,10,10,332
2016041423,7,6,257
2016041500,5,5,11
2016041501,2,2,41
2016041503,1,1,7
2016041504,2,2,50
2016041505,10,10,251
2016041506,12,11,530
2016041507,37,34,1581
2016041508,51,47,2400
2016041509,54,49,2347
2016041510,46,45,2482
2016041511,40,38,1545
2016041512,33,28,1081
2016041513,29,28,1312
2016041514,39,38,2058
2016041515,45,46,3053
2016041516,35,33,2047
2016041517,28,24,1604
2016041518,26,24,760
2016041519,17,12,1321
2016041520,15,13,479
2016041521,18,16,1169
2016041522,12,12,364
2016041523,7,7,56
2016041600,2,2,45
2016041601,4,4,32
2016041602,4,2,290
2016041603,1,1,11
2016041604,2,2,157
2016041605,5,5,569
2016041606,7,7,354
2016041607,34,32,3023
2016041608,39,37,2472
2016041609,26,23,1537
2016041610,35,34,1888
2016041611,24,17,1816
2016041612,19,19,1372
2016041613,22,22,1435
2016041614,22,22,1476
2016041615,15,12,673
2016041616,24,21,1589
2016041617,19,19,673
2016041618,13,13,759
2016041619,11,11,504
2016041620,13,13,893
2016041621,12,12,1111
2016041622,10,9,423
2016041623,6,6,416
2016041700,1,1,5
2016041701,1,1,309
2016041704,2,2,183
2016041705,2,2,382
2016041706,12,12,941
2016041707,17,16,1123
2016041708,41,40,2376
2016041709,23,22,1621
2016041710,39,35,2403
2016041711,23,19,1709
2016041712,12,12,289
2016041713,12,11,664
2016041714,16,16,821
2016041715,16,13,1604
2016041716,19,18,1342
2016041717,18,17,687
2016041718,16,16,817
2016041719,15,13,1077
2016041720,11,9,444
2016041721,6,6,212
2016041722,6,6,311
2016041723,6,6,101
2016041800,2,2,22
2016041801,2,2,29
2016041803,1,1,32
2016041804,2,2,18
2016041805,4,4,296
2016041806,9,9,107
2016041807,18,19,332
2016041808,38,35,751
2016041809,38,33,1266
2016041810,26,24,1519
2016041811,12,11,633
2016041812,23,23,574
2016041813,18,19,789
2016041814,19,19,565
2016041815,22,22,739
2016041816,22,18,1361
2016041817,18,17,496
2016041818,16,16,348
2016041819,6,6,151
2016041820,11,11,269
2016041821,6,6,83
2016041822,7,7,111
2016041823,2,1,9
2016041900,2,2,146
2016041901,1,1,15
2016041902,2,2,24
2016041903,2,2,84
2016041904,1,1,97
2016041905,2,1,71
2016041906,11,11,166
2016041907,12,11,552
2016041908,37,37,1375
2016041909,27,26,1236
2016041910,18,17,789
2016041911,15,15,848
2016041912,16,15,631
2016041913,22,22,951
2016041914,16,15,805
2016041915,17,16,630
2016041916,26,24,1075
2016041917,16,15,298
2016041918,16,15,631
2016041919,6,5,175
2016041920,5,5,127
2016041921,7,7,437
2016041922,10,10,435
2016041923,4,4,9
2016042001,2,2,250
2016042004,2,2,136
2016042005,2,2,119
2016042006,7,6,432
2016042007,18,18,346
2016042008,32,30,1118
2016042009,22,19,617
2016042010,18,17,673
2016042011,27,24,1170
2016042012,18,18,699
2016042013,13,13,318
2016042014,16,17,395
2016042015,21,21,711
2016042016,17,16,1142
2016042017,18,18,480
2016042018,9,6,466
2016042019,9,9,360
2016042020,17,16,309
2016042021,9,7,214
2016042022,6,6,127
2016042023,6,6,122
2016042100,1,1,5
2016042101,1,1,2
2016042102,1,1,4
2016042105,6,6,50
2016042106,6,6,141
2016042107,18,18,575
2016042108,35,35,1055
2016042109,24,26,443
2016042110,18,18,718
2016042111,19,18,482
2016042112,15,16,671
2016042113,18,17,393
2016042114,22,21,1506
2016042115,23,21,712
2016042116,15,13,1379
2016042117,17,16,652
2016042118,12,11,482
2016042119,10,10,151
2016042120,11,11,486
2016042121,9,9,362
2016042122,5,5,71
2016042123,6,5,119
2016042200,2,2,108
2016042201,2,2,6
2016042202,5,5,83
2016042203,1,1,82
2016042204,2,2,72
2016042205,5,5,155
2016042206,17,17,704
2016042207,46,45,1930
2016042208,71,61,3440
2016042209,89,86,3909
2016042210,88,83,3734
2016042211,114,112,5482
2016042212,151,142,8517
2016042213,177,162,11423
2016042214,161,141,7282
2016042215,200,186,10529
2016042216,191,178,11263
2016042217,179,155,10285
2016042218,139,128,7952
2016042219,110,96,4783
2016042220,73,71,4578
2016042221,55,51,3048
2016042222,35,29,983
2016042223,39,37,1929
2016042300,26,27,1114
2016042301,6,5,488
2016042302,5,4,69
2016042303,5,5,459
2016042304,7,9,368
2016042305,6,7,475
2016042306,13,13,308
2016042307,58,60,2275
2016042308,106,104,5984
2016042309,79,68,4064
2016042310,51,49,3097
2016042311,45,41,2099
2016042312,35,32,1676
2016042313,27,23,1095
2016042314,28,26,939
2016042315,26,26,1223
2016042316,27,24,1419
2016042317,21,18,796
2016042318,23,23,764
2016042319,19,17,868
2016042320,21,18,1190
2016042321,6,6,203
2016042322,18,17,666
2016042323,4,4,61
2016042400,5,5,34
2016042401,1,1,5
2016042402,1,1,4
2016042404,1,1,2
2016042405,1,1,2
2016042406,11,10,262
2016042407,23,24,1051
2016042408,24,24,816
2016042409,29,29,2001
2016042410,38,34,1601
2016042411,30,30,1103
2016042412,32,32,1096
2016042413,29,27,1107
2016042414,22,22,1284
2016042415,34,29,1579
2016042416,27,27,1260
2016042417,44,40,2568
2016042418,33,30,1519
2016042419,32,29,1347
2016042420,26,24,1382
2016042421,29,29,975
2016042422,22,21,1252
2016042423,16,16,1042
2016042500,9,9,175
2016042501,4,4,56
2016042502,1,1,26
2016042503,6,6,86
2016042504,4,4,71
2016042505,6,6,200
2016042506,17,17,430
2016042507,49,50,2109
2016042508,104,95,4607
2016042509,90,85,4268
2016042510,89,84,4765
2016042511,90,79,3943
2016042512,47,46,1958
2016042513,54,51,1998
2016042514,47,43,3063
2016042515,58,57,3041
2016042516,45,41,2660
2016042517,57,54,2842
2016042518,45,44,2429
2016042519,30,28,1154
2016042520,18,18,935
2016042521,12,9,449
2016042522,21,21,323
2016042523,13,12,457
2016042600,9,11,416
2016042601,4,2,80
2016042602,4,4,62
2016042603,1,1,88
2016042604,4,4,180
2016042605,4,4,43
2016042606,19,21,751
2016042607,38,37,1847
2016042608,63,60,3635
2016042609,60,55,3085
2016042610,49,44,2085
2016042611,44,40,1965
2016042612,38,38,1253
2016042613,38,38,1206
2016042614,41,40,1474
2016042615,46,44,1912
2016042616,35,32,827
2016042617,41,37,1698
2016042618,43,41,2255
2016042619,29,23,1243
2016042620,21,19,1102
2016042621,18,16,330
2016042622,13,13,810
2016042623,7,7,194
2016042700,4,4,39
2016042701,4,4,134
2016042702,4,4,132
2016042704,2,2,40
2016042705,10,10,409
2016042706,21,19,477
2016042707,41,38,1342
2016042708,76,76,3518
2016042709,52,46,2725
2016042710,56,55,3404
2016042711,45,40,1562
2016042712,37,35,2207
2016042713,51,51,2153
2016042714,51,45,2510
2016042715,68,66,2689
2016042716,60,55,2568
2016042717,93,88,5193
2016042718,51,46,2697
2016042719,43,41,1754
2016042720,47,44,2148
2016042721,23,21,794
2016042722,30,32,785
2016042723,11,10,286
2016042800,11,11,558
2016042801,5,5,56
2016042802,2,1,178
2016042803,2,2,125
2016042804,5,5,206
2016042805,15,15,295
2016042806,18,17,625
2016042807,39,37,1191
2016042808,66,62,3580
2016042809,68,63,2448
2016042810,55,54,2198
2016042811,44,37,1665
2016042812,40,38,1303
2016042813,45,45,2090
2016042814,30,29,2422
2016042815,35,35,726
2016042816,37,37,1008
2016042817,23,22,951
2016042818,27,27,645
2016042819,15,15,486
2016042820,16,15,638
2016042821,12,11,108
2016042822,5,4,89
2016042823,4,4,10
2016042900,2,2,16
2016042901,4,4,112
2016042902,1,0,9
2016042903,1,1,15
2016042904,4,4,11
2016042905,6,6,44
2016042906,10,10,239
2016042907,22,23,564
2016042908,43,41,1601
2016042909,45,39,2392
2016042910,46,44,2275
2016042911,34,32,1353
2016042912,24,23,1352
2016042913,30,26,979
2016042914,37,34,1806
2016042915,40,38,1916
2016042916,26,23,804
2016042917,35,34,1635
2016042918,27,24,1565
2016042919,19,18,894
2016042920,23,22,973
2016042921,28,26,1312
2016042922,18,18,581
2016042923,17,17,928
2016043000,7,7,230
2016043001,2,2,12
2016043002,4,4,62
2016043003,1,1,1
2016043004,5,5,117
2016043005,5,5,141
2016043006,7,7,358
2016043007,26,24,1528
2016043008,45,43,2632
2016043009,55,52,3048
2016043010,54,49,2960
2016043011,30,30,1430
2016043012,27,26,1162
2016043013,23,21,877
2016043014,24,22,1016
2016043015,19,19,1151
2016043016,16,16,912
2016043017,21,19,510
2016043018,13,13,783
2016043019,10,9,440
2016043020,12,12,386
2016043021,11,10,229
2016043022,10,10,101
2016043023,4,4,26
2016050100,4,4,24
2016050101,4,2,133
2016050102,1,1,37
2016050106,6,6,440
2016050107,22,21,757
2016050108,28,24,1370
2016050109,16,13,764
2016050110,19,19,895
2016050111,11,13,252
2016050112,10,10,582
2016050113,12,12,549
2016050114,13,12,1556
2016050115,16,16,1034
2016050116,18,17,1002
2016050117,16,15,468
2016050118,15,15,582
2016050119,24,23,1657
2016050120,18,17,869
2016050121,21,19,321
2016050122,11,9,401
2016050123,7,7,240
2016050200,1,1,65
2016050205,6,6,108
2016050206,11,10,399
2016050207,32,29,1242
2016050208,33,33,1349
2016050209,24,19,895
2016050210,26,22,804
2016050211,18,17,1007
2016050212,22,19,1062
2016050213,21,18,1085
2016050214,30,26,1181
2016050215,40,37,1109
2016050216,18,18,665
2016050217,22,23,1290
2016050218,22,19,1198
2016050219,12,11,236
2016050220,2,2,10
2016050221,7,7,69
2016050222,4,4,28
2016050223,5,5,97
2016050300,7,7,67
2016050304,1,1,50
2016050305,4,4,27
2016050306,9,9,85
2016050307,22,22,529
2016050308,23,22,783
2016050309,27,28,1170
2016050310,19,17,597
2016050311,28,27,1741
2016050312,11,11,337
2016050313,13,13,700
2016050314,21,21,1478
2016050315,17,16,505
2016050316,30,30,1471
2016050317,27,24,805
2016050318,19,21,835
2016050319,15,13,595
2016050320,11,11,289
2016050321,15,13,235
2016050322,5,5,93
2016050323,4,4,128
2016050400,4,4,49
2016050401,1,1,28
2016050402,1,1,4
2016050403,1,1,24
2016050405,4,4,79
2016050406,6,5,265
2016050407,26,24,1016
2016050408,37,34,1399
2016050409,44,39,2012
2016050410,34,30,1366
2016050411,22,22,721
2016050412,16,15,359
2016050413,26,26,880
2016050414,27,27,1845
2016050415,26,24,1243
2016050416,33,32,1515
2016050417,27,27,1259
2016050418,28,24,1386
2016050419,17,16,727
2016050420,15,12,477
2016050421,9,9,153
2016050422,7,7,89
2016050423,7,6,96
2016050500,2,2,139
2016050501,4,4,105
2016050502,1,1,10
2016050503,1,1,10
2016050504,1,1,71
2016050505,7,7,40
2016050506,7,6,237
2016050507,43,41,1595
2016050508,67,67,2707
2016050509,68,62,2915
2016050510,61,57,2876
2016050511,57,51,2532
2016050512,30,29,1394
2016050513,52,50,2141
2016050514,60,58,2822
2016050515,67,63,3395
2016050516,67,65,3656
2016050517,65,58,3108
2016050518,39,34,3032
2016050519,41,39,1523
2016050520,27,24,923
2016050521,15,13,804
2016050522,18,18,986
2016050523,18,18,983
2016050600,10,11,442
2016050601,2,2,10
2016050602,1,1,23
2016050603,1,1,4
2016050604,4,4,110
2016050605,10,10,248
2016050606,11,7,530
2016050607,61,61,2058
2016050608,78,72,4147
2016050609,69,67,3866
2016050610,49,45,2242
2016050611,44,41,1737
2016050612,33,29,1352
2016050613,46,43,2249
2016050614,38,35,1958
2016050615,40,38,1343
2016050616,43,38,1745
2016050617,38,37,1682
2016050618,29,28,1158
2016050619,19,19,917
2016050620,27,27,1413
2016050621,18,16,295
2016050622,4,2,37
2016050623,11,11,444
2016050700,4,4,18
2016050701,1,1,147
2016050702,4,2,101
2016050703,2,2,21
2016050704,4,4,28
2016050705,4,4,189
2016050706,7,7,419
2016050707,26,26,677
2016050708,47,47,2356
2016050709,43,37,1919
2016050710,57,57,2071
2016050711,43,43,1973
2016050712,29,30,1316
2016050713,26,26,1586
2016050714,19,17,999
2016050715,23,23,1553
2016050716,21,21,614
2016050717,28,24,2271
2016050718,22,19,944
2016050719,15,13,460
2016050720,12,12,522
2016050721,21,19,855
2016050722,12,11,487
2016050723,7,7,209
2016050800,6,6,89
2016050801,2,2,5
2016050803,1,1,6
2016050804,1,1,21
2016050805,5,5,173
2016050806,11,11,475
2016050807,19,18,1050
2016050808,33,30,1784
2016050809,32,29,2321
2016050810,28,26,1204
2016050811,22,21,734
2016050812,21,18,1169
2016050813,23,23,1145
2016050814,16,18,452
2016050815,17,15,849
2016050816,24,23,1386
2016050817,12,12,267
2016050818,21,21,812
2016050819,18,15,442
2016050820,9,9,189
2016050821,9,7,162
2016050822,5,5,80
2016050823,4,2,33
2016050900,4,4,7
2016050902,4,4,672
2016050903,4,4,24
2016050905,2,2,57
2016050906,6,6,60
2016050907,17,17,716
2016050908,33,32,1399
2016050909,39,38,1523
2016050910,24,23,829
2016050911,34,33,1276
2016050912,23,24,1717
2016050913,19,17,628
2016050914,22,22,1632
2016050915,26,26,820
2016050916,27,27,1993
2016050917,26,23,673
2016050918,18,17,850
2016050919,15,11,482
2016050920,7,6,285
2016050921,9,9,268
2016050922,9,9,208
2016050923,2,4,11
2016051001,2,2,6
2016051002,2,2,56
2016051003,1,1,19
2016051004,5,5,41
2016051005,5,5,85
2016051006,7,7,97
2016051007,15,15,459
2016051008,29,29,997
2016051009,37,35,1684
2016051010,16,13,516
2016051011,26,24,916
2016051012,28,27,834
2016051013,18,18,1027
2016051014,23,22,1010
2016051015,27,23,1066
2016051016,17,15,611
2016051017,18,18,1234
2016051018,16,13,851
2016051019,15,15,430
2016051020,12,12,317
2016051021,6,5,487
2016051022,9,9,160
2016051023,4,1,17
2016051100,5,5,30
2016051101,1,1,84
2016051102,2,2,15
2016051105,5,5,58
2016051106,10,10,57
2016051107,15,15,753
2016051108,23,23,902
2016051109,29,24,1366
2016051110,23,21,1654
2016051111,23,22,557
2016051112,17,17,787
2016051113,12,9,449
2016051114,13,15,479
2016051115,21,21,572
2016051116,13,13,246
2016051117,11,11,589
2016051118,10,9,255
2016051119,11,9,364
2016051120,4,4,145
2016051121,16,16,166
2016051122,9,7,84
2016051123,4,4,16
2016051200,2,2,332
2016051205,1,1,15
2016051206,5,5,116
2016051207,18,19,358
2016051208,21,19,492
2016051209,24,23,1038
2016051210,22,19,686
2016051211,18,16,1685
2016051212,17,16,441
2016051213,19,18,1238
2016051214,13,12,312
2016051215,15,15,447
2016051216,28,26,932
2016051217,29,27,1702
2016051218,16,15,798
2016051219,7,7,213
2016051220,10,7,479
2016051221,7,6,259
2016051222,10,9,208
2016051223,7,7,134
2016051300,1,1,4
2016051301,1,1,52
2016051302,2,2,88
2016051303,1,1,4
2016051304,4,4,273
2016051305,2,2,6
2016051306,5,5,41
2016051307,21,19,397
2016051308,21,19,880
2016051309,16,15,715
2016051310,13,12,732
2016051311,15,12,966
2016051312,22,21,827
2016051313,13,11,284
2016051314,18,17,267
2016051315,22,22,583
2016051316,24,22,1234
2016051317,23,21,1129
2016051318,12,11,280
2016051319,11,10,313
2016051320,11,11,250
2016051321,7,6,241
2016051322,5,5,99
2016051323,1,1,19
2016051400,1,1,4
2016051401,5,5,33
2016051402,2,2,6
2016051403,2,2,12
2016051405,4,4,79
2016051406,1,1,44
2016051407,15,13,610
2016051408,19,19,784
2016051409,16,16,516
2016051410,16,13,543
2016051411,12,12,164
2016051412,12,12,427
2016051413,15,13,811
2016051414,7,6,151
2016051415,4,4,68
2016051416,12,12,553
2016051417,7,7,213
2016051418,16,16,1133
2016051419,18,18,827
2016051420,10,10,186
2016051421,4,2,34
2016051422,6,5,74
2016051423,4,4,34
2016051500,1,1,4
2016051501,2,2,11
2016051502,2,2,6
2016051504,2,2,35
2016051505,2,2,626
2016051506,10,10,446
2016051507,16,13,1975
2016051508,16,15,740
2016051509,22,22,525
2016051510,17,16,683
2016051511,15,15,546
2016051512,11,11,314
2016051513,7,6,194
2016051514,18,18,1201
2016051515,12,7,418
2016051516,11,10,776
2016051517,15,15,1022
2016051518,16,16,863
2016051519,17,18,834
2016051520,11,10,265
2016051521,6,5,202
2016051523,5,5,34
2016051600,4,4,18
2016051601,4,4,38
2016051603,1,1,4
2016051605,5,5,49
2016051606,6,6,369
2016051607,17,18,347
2016051608,28,27,1195
2016051609,23,23,924
2016051610,23,24,530
2016051611,13,12,354
2016051612,22,22,1174
2016051613,17,17,705
2016051614,21,19,838
2016051615,21,19,570
2016051616,26,23,784
2016051617,24,22,890
2016051618,15,12,1047
2016051619,16,16,498
2016051620,6,6,268
2016051621,7,7,388
2016051622,7,7,113
2016051623,1,1,29
2016051700,5,5,45
2016051701,1,1,6
2016051702,2,2,32
2016051705,2,2,13
2016051706,5,5,19
2016051707,22,22,516
2016051708,15,13,782
2016051709,37,37,1454
2016051710,18,16,459
2016051711,23,21,531
2016051712,27,23,1361
2016051713,26,24,1119
2016051714,17,15,1313
2016051715,18,18,700
2016051716,18,18,1225
2016051717,11,9,720
2016051718,12,12,438
2016051719,12,11,438
2016051720,5,5,21
2016051721,6,6,62
2016051722,7,7,108
2016051723,4,4,74
2016051800,1,1,4
2016051801,2,2,6
2016051802,1,1,90
2016051803,4,4,37
2016051804,1,1,72
2016051805,7,7,110
2016051806,7,6,325
2016051807,22,21,997
2016051808,22,18,1096
2016051809,29,26,1522
2016051810,19,19,600
2016051811,23,21,1046
2016051812,16,13,491
2016051813,19,19,960
2016051814,21,19,1095
2016051815,18,17,732
2016051816,17,17,424
2016051817,23,23,1370
2016051818,21,16,845
2016051819,10,9,520
2016051820,9,9,241
2016051821,7,7,144
2016051822,9,9,211
2016051823,5,5,13
2016051905,4,4,30
2016051906,6,6,69
2016051907,22,21,591
2016051908,23,19,846
2016051909,19,19,807
2016051910,24,23,720
2016051911,19,19,571
2016051912,27,26,788
2016051913,22,19,1070
2016051914,29,29,916
2016051915,27,24,1940
2016051916,37,37,1442
2016051917,24,22,985
2016051918,22,19,1002
2016051919,9,7,285
2016051920,11,11,244
2016051921,9,9,342
2016051922,6,6,69
2016051923,10,9,444
2016052000,5,5,308
2016052003,1,1,21
2016052004,1,1,30
2016052005,7,7,116
2016052006,24,23,1461
2016052007,37,34,1481
2016052008,57,51,2503
2016052009,77,72,3784
2016052010,68,65,2790
2016052011,61,57,2935
2016052012,67,63,2750
2016052013,85,85,4326
2016052014,93,86,5197
2016052015,95,89,5436
2016052016,99,91,6883
2016052017,164,157,8395
2016052018,160,146,9177
2016052019,133,129,7185
2016052020,119,116,6004
2016052021,89,80,5107
2016052022,63,56,3562
2016052023,41,37,1442
2016052100,27,27,1007
2016052101,17,17,379
2016052102,9,9,245
2016052103,6,5,203
2016052104,9,7,180
2016052105,12,12,261
2016052106,27,27,1094
2016052107,60,57,2947
2016052108,85,83,4835
2016052109,77,73,3256
2016052110,65,58,3290
2016052111,57,52,2566
2016052112,45,44,3141
2016052113,16,13,636
2016052114,34,34,1201
2016052115,46,45,1841
2016052116,44,44,2124
2016052117,50,49,2230
2016052118,49,46,2573
2016052119,38,35,1326
2016052120,13,13,688
2016052121,34,33,1691
2016052122,16,16,410
2016052123,11,11,263
2016052200,7,7,123
2016052202,1,1,49
2016052203,1,1,2
2016052205,9,9,421
2016052206,12,11,324
2016052207,21,21,690
2016052208,28,24,1532
2016052209,32,27,891
2016052210,32,30,1689
2016052211,16,15,944
2016052212,23,22,939
2016052213,19,19,549
2016052214,29,28,1734
2016052215,18,17,748
2016052216,17,16,594
2016052217,21,21,893
2016052218,19,17,900
2016052219,11,11,287
2016052220,17,16,777
2016052221,16,15,246
2016052222,6,4,222
2016052223,5,5,276
2016052300,6,6,123
2016052301,5,5,52
2016052302,1,1,5
2016052305,6,6,244
2016052306,9,7,279
2016052307,23,22,1526
2016052308,49,46,2409
2016052309,35,28,1038
2016052310,24,23,717
2016052311,21,22,1000
2016052312,28,27,626
2016052313,32,29,1098
2016052314,38,35,1296
2016052315,32,28,899
2016052316,24,21,893
2016052317,30,30,2197
2016052318,23,22,1314
2016052319,27,27,1119
2016052320,16,13,1003
2016052321,9,9,645
2016052322,4,4,155
2016052323,6,6,373
2016052400,4,4,50
2016052401,1,1,62
2016052402,2,2,110
2016052403,1,1,56
2016052404,4,4,147
2016052405,10,10,123
2016052406,19,15,678
2016052407,27,26,955
2016052408,28,26,1431
2016052409,46,44,1845
2016052410,33,30,1189
2016052411,29,27,714
2016052412,29,29,919
2016052413,38,35,1273
2016052414,46,41,2042
2016052415,32,28,1105
2016052416,39,37,1403
2016052417,39,38,1554
2016052418,23,19,600
2016052419,15,15,535
2016052420,11,10,390
2016052421,12,12,188
2016052422,6,5,65
2016052423,9,9,104
2016052500,6,6,50
2016052501,2,1,23
2016052502,1,1,19
2016052503,2,2,123
2016052504,2,1,142
2016052505,5,5,157
2016052506,12,11,511
2016052507,17,15,667
2016052508,32,30,1748
2016052509,30,28,984
2016052510,52,54,1449
2016052511,40,40,1342
2016052512,24,22,354
2016052513,60,55,1579
2016052514,29,27,653
2016052515,47,45,1079
2016052516,47,46,1304
2016052517,49,43,1892
2016052518,30,28,1039
2016052519,26,24,688
2016052520,23,22,444
2016052521,11,11,97
2016052522,5,5,178
2016052523,6,6,18
2016052600,6,6,157
2016052602,2,2,63
2016052603,1,1,5
2016052604,7,7,37
2016052605,12,12,190
2016052606,11,10,293
2016052607,29,28,723
2016052608,30,28,944
2016052609,38,35,1034
2016052610,29,28,492
2016052611,33,30,1527
2016052612,38,38,1668
2016052613,23,23,622
2016052614,29,28,543
2016052615,39,33,1100
2016052616,39,38,994
2016052617,22,21,793
2016052618,12,9,655
2016052619,17,17,375
2016052620,15,15,283
2016052621,4,4,129
2016052622,5,5,320
2016052623,2,2,66
2016052700,2,2,133
2016052704,1,1,2
2016052705,7,7,72
2016052706,10,10,186
2016052707,24,24,1050
2016052708,18,17,515
2016052709,35,34,1545
2016052710,30,28,1310
2016052711,17,17,395
2016052712,33,33,1410
2016052713,28,27,1226
2016052714,24,17,926
2016052715,21,19,598
2016052716,22,21,1284
2016052717,23,23,1683
2016052718,21,18,1438
2016052719,16,16,1475
2016052720,18,19,1083
2016052721,10,10,279
2016052722,6,6,125
2016052723,7,7,206
2016052800,5,5,39
2016052801,6,6,107
2016052802,1,0,138
2016052804,4,4,37
2016052805,2,2,13
2016052806,6,6,93
2016052807,12,12,183
2016052808,10,9,444
2016052809,10,11,404
2016052810,9,9,185
2016052811,18,19,627
2016052812,11,11,376
2016052813,12,11,318
2016052814,9,9,162
2016052815,9,7,123
2016052816,22,22,927
2016052817,15,15,228
2016052818,9,9,384
2016052819,9,9,637
2016052820,6,6,239
2016052821,6,6,224
2016052822,5,5,108
2016052823,6,6,38
2016052900,4,4,21
2016052901,2,2,46
2016052904,1,1,4
2016052905,2,2,17
2016052906,2,2,130
2016052907,11,10,130
2016052908,13,13,286
2016052909,9,7,547
2016052910,13,13,860
2016052911,11,10,320
2016052912,10,9,163
2016052913,4,4,201
2016052914,7,7,177
2016052915,6,6,539
2016052916,21,19,1028
2016052917,11,7,988
2016052918,13,13,801
2016052919,10,10,45
2016052920,7,7,123
2016052921,7,6,253
2016052922,4,4,95
2016052923,1,1,13
2016053000,2,2,6
2016053001,1,1,7
2016053002,1,1,2
2016053003,4,4,168
2016053004,5,4,493
2016053005,6,5,153
2016053006,9,6,269
2016053007,5,4,202
2016053008,15,13,409
2016053009,15,11,805
2016053010,21,18,631
2016053011,12,10,437
2016053012,21,22,1167
2016053013,19,18,729
2016053014,33,33,2940
2016053015,19,15,1230
2016053016,26,23,1640
2016053017,23,21,1368
2016053018,30,30,1436
2016053019,19,18,614
2016053020,11,11,195
2016053021,10,10,511
2016053022,13,13,291
2016053023,6,5,307
2016053100,4,4,97
2016053101,1,1,4
2016053102,1,1,1
2016053103,2,2,6
2016053104,2,2,35
2016053105,6,6,32
2016053106,7,9,259
2016053107,10,10,369
2016053108,18,19,609
2016053109,26,24,1273
2016053110,21,19,790
2016053111,21,22,709
2016053112,29,27,992
2016053113,19,15,982
2016053114,23,18,486
2016053115,23,21,734
2016053116,23,19,1618
2016053117,23,21,1077
2016053118,23,22,1256
2016053119,15,13,421
2016053120,12,12,287
2016053121,7,6,122
2016053122,1,1,5
2016053123,4,4,43
