2714,1017,983
4108,1342,1351
265008,75727,74932
520,397,379
680,532,502
30764,24473,19670
1004,781,734
1423,998,936
77845,48633,48757
242,335,427
300,441,530
12758,20016,24457
587,248,283
773,320,356
37870,14718,15856
167,171,179
217,216,244
8745,8403,9819
287,195,145
384,263,189
13453,11732,8759
198,190,187
278,276,276
11035,9406,11743
440,189,163
588,257,219
28782,9292,9180
226,136,122
304,152,147
14170,5420,6995
196,223,209
232,301,282
12511,10929,9470
623,1979,1752
894,3047,2448
65910,231294,142588
3448,3756,4107
5194,5746,6528
350833,378603,457969
1039,1852,2720
1484,2847,4250
88644,156318,233780
2746,935,871
4576,1291,1182
300929,56201,48433
488,1225,597
639,1752,744
22859,94209,32942
444,433,368
567,552,487
20079,22116,16623
327,438,404
438,589,522
14390,22850,18795
447,256,279
591,335,359
20180,13315,14866
223,284,284
314,396,415
15708,16226,17398
521,415,255
794,596,335
39603,27754,15792
