Date,Sessions
20130426,7
20130427,1
20130428,3
20130429,15
20130430,15
20130501,15
20130502,15
20130503,10
20130504,10
20130505,15
20130506,25
20130507,24
20130508,27
20130509,14
20130510,20
20130511,6
20130512,7
20130513,22
20130514,18
20130515,17
20130516,21
20130517,13
20130518,4
20130519,12
20130520,22
20130521,31
20130522,35
20130523,29
20130524,12
20130525,4
20130526,1
20130527,7
20130528,20
20130529,19
20130530,35
20130531,19
20130601,6
20130602,5
20130603,22
20130604,16
20130605,15
20130606,19
20130607,16
20130608,10
20130609,8
20130610,26
20130611,27
20130612,19
20130613,16
20130614,10
20130615,5
20130616,7
20130617,21
20130618,23
20130619,16
20130620,27
20130621,14
20130622,9
20130623,10
20130624,19
20130625,29
20130626,19
20130627,13
20130628,14
20130629,5
20130630,7
20130701,27
20130702,31
20130703,21
20130704,7
20130705,8
20130706,8
20130707,6
20130708,26
20130709,18
20130710,23
20130711,29
20130712,14
20130713,3
20130714,5
20130715,9
20130716,13
20130717,12
20130718,8
20130719,16
20130720,5
20130721,9
20130722,11
20130723,15
20130724,17
20130725,21
20130726,16
20130727,4
20130728,5
20130729,21
20130730,13
20130731,50
20130801,19
20130802,30
20130804,1
20130805,27
20130806,13
20130807,20
20130808,23
20130809,16
20130811,5
20130812,20
20130813,18
20130814,17
20130815,27
20130816,19
20130817,6
20130818,7
20130819,25
20130820,28
20130821,24
20130822,22
20130823,21
20130824,6
20130825,7
20130826,14
20130827,10
20130828,21
20130829,13
20130830,11
20130831,7
20130901,2
20130902,3
20130903,22
20130904,16
20130905,16
20130906,13
20130907,3
20130908,2
20130909,15
20130910,19
20130911,15
20130912,19
20130913,8
20130914,2
20130915,3
20130916,15
20130917,10
20130918,9
20130919,14
20130920,9
20130921,8
20130922,7
20130923,16
20130924,13
20130925,21
20130926,16
20130927,14
20130928,3
20130929,11
20130930,15
20131001,24
20131002,12
20131003,24
20131004,9
20131005,5
20131006,3
20131007,18
20131008,19
20131009,22
20131010,15
20131011,8
20131012,5
20131013,4
20131014,8
20131015,14
20131016,9
20131017,25
20131018,18
20131019,2
20131020,6
20131021,17
20131022,12
20131023,16
20131024,14
20131025,10
20131026,2
20131027,14
20131028,25
20131029,25
20131030,16
20131031,22
20131101,15
20131102,8
20131103,4
20131104,20
20131105,19
20131106,31
20131107,19
20131108,12
20131109,1
20131110,5
20131111,7
20131112,16
20131113,11
20131114,9
20131115,9
20131116,6
20131117,7
20131118,31
20131119,28
20131120,42
20131121,41
20131122,26
20131123,9
20131124,9
20131125,26
20131126,25
20131127,32
20131128,10
20131129,12
20131130,8
20131201,12
20131202,48
20131203,58
20131204,44
20131205,48
20131206,211
20131207,187
20131208,51
20131209,56
20131210,46
20131211,39
20131212,31
20131213,25
20131214,12
20131215,14
20131216,38
20131217,32
20131218,40
20131219,52
20131220,33
20131221,14
20131222,12
20131223,25
20131224,31
20131225,13
20131226,22
20131227,25
20131228,12
20131229,7
20131230,18
20131231,21
20140101,14
20140102,20
20140103,26
20140104,8
20140105,13
20140106,30
20140107,36
20140108,31
20140109,44
20140110,23
20140111,23
20140112,12
20140113,40
20140114,35
20140115,26
20140116,34
20140117,15
20140118,10
20140119,11
20140120,13
20140121,22
20140122,25
20140123,23
20140124,21
20140125,8
20140126,10
20140127,17
20140128,28
20140129,44
20140130,36
20140131,26
20140201,8
20140202,12
20140203,26
20140204,32
20140205,26
20140206,132
20140207,200
20140208,97
20140209,72
20140210,59
20140211,57
20140212,57
20140213,76
20140214,49
20140215,17
20140216,21
20140217,29
20140218,51
20140219,57
20140220,54
20140221,54
20140222,17
20140223,11
20140224,48
20140225,41
20140226,66
20140227,57
20140228,65
20140301,34
20140302,20
20140303,87
20140304,51
20140305,55
20140306,63
20140307,49
20140308,16
20140309,25
20140310,46
20140311,30
20140312,38
20140313,34
20140314,20
20140315,10
20140316,12
20140317,34
20140318,25
20140319,25
20140320,23
20140321,24
20140322,23
20140323,12
20140324,37
20140325,44
20140326,47
20140327,34
20140328,38
20140329,36
20140330,31
20140331,60
20140401,70
20140402,50
20140403,35
20140404,23
20140405,11
20140406,15
20140407,34
20140408,33
20140409,20
20140410,30
20140411,22
20140412,8
20140413,10
20140414,20
20140415,37
20140416,30
20140417,16
20140418,25
20140419,7
20140420,9
20140421,29
20140422,26
20140423,19
20140424,23
20140425,36
20140426,9
20140427,6
20140428,20
20140429,17
20140430,31
20140501,24
20140502,23
20140503,6
20140504,11
20140505,26
20140506,20
20140507,18
20140508,36
20140509,22
20140510,10
20140511,7
20140512,25
