2016080600,2,2,49
2016080604,6,6,117
2016080605,1,1,7
2016080606,4,4,192
2016080607,9,9,227
2016080608,13,13,588
2016080609,13,13,727
2016080610,9,9,335
2016080611,16,16,367
2016080612,10,9,420
2016080613,9,10,560
2016080614,11,10,307
2016080615,7,6,174
2016080616,10,9,549
2016080617,5,5,175
2016080618,13,13,722
2016080619,12,12,827
2016080620,7,9,113
2016080621,6,6,91
2016080622,5,5,183
2016080623,4,4,21
2016080700,2,2,37
2016080702,4,4,129
2016080703,1,1,129
2016080704,2,2,482
2016080705,5,4,28
2016080706,2,1,160
2016080707,4,4,190
2016080708,9,9,427
2016080709,12,12,532
2016080710,9,9,560
2016080711,12,11,443
2016080712,6,6,258
2016080713,11,10,382
2016080714,11,11,382
2016080715,19,16,877
2016080716,7,7,168
2016080717,11,10,388
2016080718,12,12,782
2016080719,6,6,522
2016080720,5,5,135
2016080721,7,7,82
2016080722,4,2,223
2016080723,7,6,469
