2016081300,4,4,110
2016081301,1,1,4
2016081303,1,1,4
2016081304,1,1,4
2016081305,6,6,125
2016081307,6,6,345
2016081308,16,15,655
2016081309,13,11,296
2016081310,15,15,455
2016081311,16,17,465
2016081312,12,12,728
2016081313,13,12,1052
2016081314,12,11,311
2016081315,13,13,229
2016081316,13,13,492
2016081317,5,5,167
2016081318,7,7,163
2016081319,6,6,418
2016081320,4,4,44
2016081321,10,9,292
2016081322,6,6,35
2016081323,2,2,16
2016081400,1,1,4
2016081401,4,4,94
2016081403,1,1,101
2016081404,2,2,6
2016081405,4,4,40
2016081407,10,10,311
2016081408,13,12,255
2016081409,11,10,507
2016081410,12,11,329
2016081411,10,10,264
2016081412,9,10,191
2016081413,16,15,443
2016081414,10,9,518
2016081415,12,11,309
2016081416,22,22,633
2016081417,13,11,693
2016081418,18,18,737
2016081419,10,9,252
2016081420,13,13,867
2016081421,9,9,360
2016081422,7,5,38
2016081423,6,5,179
