Date,Summary Type,Count,Sum,Min,Max,Median,Mode,Mean,Q1,Q3,Variance,StdDev,Range,IQR
0.csv,Users,12,11,15,12,32,46,22,10,21,23,7,6,16
0.csv,Sessions,12,11,15,12,32,47,22,10,21,23,7,6,18
0.csv,Events,550,191,746,589,2144,2478,717,54,727,839,134,329,964
1.csv,Users,12,5,6,5,17,22,10,15,18,11,2,4,11
1.csv,Sessions,12,5,6,5,16,21,10,13,17,10,2,2,7
1.csv,Events,296,61,256,278,638,744,964,518,756,653,156,74,588
10.csv,Users,72,78,132,152,360,414,343,144,144,101,95,89,237
10.csv,Sessions,65,71,123,134,345,388,323,133,125,96,89,79,220
10.csv,Events,4375,4105,6675,9747,25051,29015,15217,7114,10392,4856,4846,3267,14432
11.csv,Users,80,82,114,173,398,362,203,105,136,60,84,79,218
11.csv,Sessions,74,77,106,161,367,328,186,97,125,56,77,67,207
11.csv,Events,3233,6114,7525,13143,28060,23745,11566,7969,7946,1763,4160,4006,14811
12.csv,Users,51,68,83,164,418,304,167,105,93,61,71,57,172
12.csv,Sessions,46,63,74,140,392,281,152,101,86,56,66,52,157
12.csv,Events,2579,3760,5202,9819,26277,20849,9103,6485,4626,3734,3427,3091,9377
13.csv,Users,66,52,91,149,374,274,134,89,71,51,55,63,179
13.csv,Sessions,61,50,86,141,343,248,125,84,65,46,52,61,166
13.csv,Events,2824,2541,5152,7824,22708,19201,8280,4846,4069,3265,2549,3858,9651
14.csv,Users,38,47,84,188,360,274,136,93,66,47,66,51,190
14.csv,Sessions,35,46,74,173,335,255,122,88,65,45,65,50,180
14.csv,Events,2036,3413,4495,10302,23048,18140,6339,4149,3085,2207,3040,2777,11706
15.csv,Users,50,61,90,192,317,295,142,91,57,44,58,77,207
15.csv,Sessions,50,51,76,185,296,273,133,84,44,40,56,72,198
15.csv,Events,2338,2708,5743,8573,18654,22003,7614,4274,3176,2484,2075,5199,14002
16.csv,Users,58,47,93,207,330,272,152,72,80,51,56,66,202
16.csv,Sessions,50,43,91,191,297,250,144,67,78,50,52,63,192
16.csv,Events,2717,2764,6598,12408,19249,19300,10576,4095,4082,2470,2900,4379,12101
17.csv,Users,41,54,94,166,286,274,118,80,86,49,56,63,198
17.csv,Sessions,35,52,88,144,259,253,100,73,77,49,49,58,186
17.csv,Events,2836,3646,6095,10704,17301,18427,6772,4052,4542,2012,2892,3401,11983
18.csv,Users,43,47,63,83,183,135,72,35,60,23,30,40,123
18.csv,Sessions,38,39,61,84,163,118,66,33,60,22,28,38,113
18.csv,Events,1439,2359,3349,3024,10760,8032,3035,2383,2824,1147,1521,1463,5829
19.csv,Users,33,38,57,57,97,104,62,33,39,33,16,19,74
19.csv,Sessions,32,38,58,52,91,94,58,33,35,30,16,18,63
19.csv,Events,504,1368,2640,1821,5882,3820,2087,1712,1482,1441,291,432,5060
2.csv,Users,9,11,9,2,9,10,12,4,9,5,1,5,5
2.csv,Sessions,7,11,9,2,9,10,12,2,7,5,1,5,5
2.csv,Events,289,214,933,63,263,251,588,63,314,681,5,419,230
20.csv,Users,34,43,40,65,108,73,58,26,38,26,22,29,63
20.csv,Sessions,33,41,34,63,104,68,57,24,30,22,22,29,56
20.csv,Events,978,1660,1646,2692,4069,3019,3628,1248,854,740,690,1107,3517
21.csv,Users,19,40,37,68,84,79,62,40,38,19,11,24,51
21.csv,Sessions,21,39,35,66,79,74,60,38,35,18,10,22,50
21.csv,Events,599,781,1369,2787,3310,3838,2269,2002,1455,869,248,656,2580
22.csv,Users,27,18,43,65,73,74,47,43,28,17,17,30,40
22.csv,Sessions,27,21,43,61,68,65,46,39,27,19,16,30,33
22.csv,Events,598,649,2208,2563,3399,3974,1841,770,868,292,1180,1067,1855
23.csv,Users,21,13,17,41,57,63,22,19,19,13,9,22,51
23.csv,Sessions,19,11,16,39,52,58,21,18,19,12,7,19,47
23.csv,Events,526,440,924,2110,2585,3629,1091,1045,705,192,157,983,2116
3.csv,Users,7,4,7,9,9,15,9,12,7,2,5,5,6
3.csv,Sessions,7,4,9,9,9,10,9,12,7,2,5,5,6
3.csv,Events,290,200,367,265,205,625,419,402,214,7,139,134,112
4.csv,Users,2,4,11,12,22,18,18,9,15,7,1,4,17
4.csv,Sessions,2,4,10,10,22,16,19,7,15,7,1,4,17
4.csv,Events,150,40,559,350,602,1274,982,332,613,225,173,127,698
5.csv,Users,9,13,10,18,34,19,38,16,17,11,9,13,23
5.csv,Sessions,7,13,10,18,30,19,37,16,17,11,9,12,23
5.csv,Events,503,412,262,440,1124,885,1523,493,535,118,234,195,610
6.csv,Users,22,18,18,44,78,74,62,27,38,18,21,22,55
6.csv,Sessions,19,17,19,43,77,68,57,26,38,15,21,21,54
6.csv,Events,781,878,667,1445,2991,2705,3208,666,1672,451,776,863,2085
7.csv,Users,32,33,40,73,144,145,122,74,69,38,35,41,102
7.csv,Sessions,29,30,39,68,140,140,119,72,60,38,34,41,93
7.csv,Events,1034,1861,1786,2538,7055,6118,6885,2563,2900,1304,1336,1288,3672
8.csv,Users,54,73,77,127,286,300,242,135,136,71,93,76,216
8.csv,Sessions,49,69,68,122,276,279,231,135,128,68,89,73,206
8.csv,Events,2814,2711,5077,8524,17000,18381,14565,9286,8434,3618,4519,3987,13897
9.csv,Users,72,78,112,189,331,362,261,147,183,100,104,93,255
9.csv,Sessions,68,77,111,178,308,319,242,140,166,96,95,86,229
9.csv,Events,4667,2731,6543,10455,20898,24681,17761,9197,9808,6235,4987,4972,14048
