Date,Users,Sessions,Total Events
2016010203,7,7,290
2016010303,4,4,200
2016010403,7,9,367
2016010503,9,9,265
2016010603,9,9,205
2016010703,15,10,625
2016010803,9,9,419
2016010903,12,12,402
2016011003,7,7,214
2016011103,2,2,7
2016011203,5,5,139
2016011303,5,5,134
2016011403,6,6,112
2016011503,17,16,526
2016011603,10,10,293
2016011703,2,2,89
2016011803,12,11,531
2016011903,7,7,89
2016012003,6,6,235
2016012103,7,7,341
2016012203,7,7,100
2016012303,13,12,575
2016012503,5,5,80
2016012603,2,2,5
2016012703,4,4,10
2016012803,2,2,26
2016012903,4,4,24
2016013003,12,12,356
2016013103,16,16,907
2016020103,19,18,789
2016020203,5,4,211
2016020303,7,7,117
2016020403,5,5,129
2016020503,6,6,218
2016020603,2,2,79
2016020703,1,0,95
2016020803,2,2,74
2016021003,4,4,24
2016021103,2,2,7
2016021403,1,1,24
2016021603,2,2,24
2016021803,15,13,549
2016021903,4,4,104
2016022003,9,7,409
2016022203,5,5,62
2016022303,1,1,4
2016022503,1,1,40
2016022803,1,1,10
2016022903,6,6,229
2016030203,1,1,12
2016030403,4,4,78
2016030503,5,5,124
2016030603,13,12,479
2016030703,21,19,437
2016030803,6,5,223
2016030903,6,6,302
2016031003,9,7,341
2016031103,2,2,33
2016031203,6,7,262
2016031303,15,12,700
2016031403,12,11,544
2016031503,5,5,170
2016031603,1,1,12
2016031803,1,1,17
2016032003,2,2,68
2016032103,4,4,104
2016032203,5,5,212
2016032303,5,5,286
2016032403,5,5,179
2016032503,1,1,67
2016032603,1,1,13
2016032703,1,0,17
2016032803,2,2,157
2016032903,4,4,95
2016033003,2,2,73
2016040103,1,1,1
2016040203,1,1,5
2016040403,1,1,18
2016040503,1,1,108
2016040603,1,1,23
2016040803,2,2,6
2016040903,2,2,256
2016041003,4,2,78
2016041103,1,1,452
2016041203,1,1,2
2016041303,1,1,5
2016041403,4,4,286
2016041503,1,1,7
2016041603,1,1,11
2016041803,1,1,32
2016041903,2,2,84
2016042203,1,1,82
2016042303,5,5,459
2016042503,6,6,86
2016042603,1,1,88
2016042803,2,2,125
2016042903,1,1,15
2016043003,1,1,1
2016050403,1,1,24
2016050503,1,1,10
2016050603,1,1,4
2016050703,2,2,21
2016050803,1,1,6
2016050903,4,4,24
2016051003,1,1,19
2016051303,1,1,4
2016051403,2,2,12
2016051603,1,1,4
2016051803,4,4,37
2016052003,1,1,21
2016052103,6,5,203
2016052203,1,1,2
2016052403,1,1,56
2016052503,2,2,123
2016052603,1,1,5
2016053003,4,4,168
2016053103,2,2,6
2016060303,2,2,74
2016061003,2,2,184
2016061103,1,1,228
2016061703,1,1,6
2016061803,1,1,13
2016061903,1,1,43
2016062003,1,1,9
2016062203,4,4,62
2016062403,4,4,11
2016062603,1,1,4
2016062803,1,1,4
2016062903,1,1,4
2016063003,1,1,162
2016070103,1,1,123
2016070203,4,4,60
2016070303,1,1,4
2016070403,1,0,5
2016070503,2,2,122
2016071103,1,1,1
2016071303,1,1,13
2016071603,1,0,4
2016071803,2,2,18
2016072103,1,1,4
2016072203,1,1,4
2016072303,1,1,52
2016072503,1,1,60
2016072603,2,2,95
2016072803,1,1,4
2016080103,2,2,93
2016080403,1,1,76
2016080703,1,1,129
2016080903,2,1,9
2016081103,4,4,37
2016081303,1,1,4
2016081403,1,1,101
2016081503,1,1,12
2016081603,1,0,4
2016081703,5,5,82
2016081803,4,4,68
2016081903,1,1,5
2016082403,1,1,18
2016082503,2,1,7
2016083103,1,1,19
2016090303,1,1,4
2016090403,2,2,6
2016090503,1,1,4
2016090703,2,2,229
2016090803,1,1,2
2016090903,4,4,181
2016091103,1,1,40
2016091203,1,1,11
2016091503,2,2,22
2016091803,2,2,9
2016092503,1,1,88
2016092603,1,1,4
2016092703,2,2,72
2016100203,2,2,454
2016100303,2,2,9
2016100403,1,1,52
2016100503,1,1,24
2016100603,5,4,339
2016100903,2,2,218
2016101003,2,2,200
2016101103,1,1,41
2016101203,1,1,7
2016101303,2,2,130
2016101403,6,5,268
2016101503,2,2,167
2016101603,2,2,96
2016101703,10,9,370
2016101803,1,1,40
2016101903,2,1,65
2016102003,1,1,5
2016102303,1,1,2
2016102403,2,1,63
2016102703,2,2,12
2016102803,2,2,63
2016102903,2,2,110
2016103103,6,5,139
2016110103,7,7,209
2016110303,4,4,45
2016110503,4,4,39
2016110803,1,1,18
2016111103,1,1,116
2016111203,1,1,2
2016111303,1,1,4
2016111403,4,4,71
2016111603,7,6,246
2016111703,1,1,1
2016111903,1,1,24
2016112003,7,6,153
2016112103,13,11,583
2016112203,9,7,669
2016112303,16,16,1053
2016112403,2,2,314
2016112503,2,2,17
2016112603,2,2,58
2016112703,21,18,877
2016112803,9,9,269
2016112903,4,4,17
2016113003,1,1,4
2016120103,4,4,122
2016120203,7,6,202
2016120303,4,4,49
2016120403,1,1,125
2016120503,1,1,328
2016120603,2,2,140
2016120703,4,4,150
2016120803,17,17,833
2016120903,5,4,141
2016121003,13,13,463
2016121103,11,11,290
2016121203,1,1,2
2016121303,4,4,222
2016121403,12,12,295
2016121503,5,5,142
2016121603,17,13,915
2016121703,7,7,230
2016121803,2,2,6
2016121903,5,5,73
2016122003,6,6,207
2016122103,9,9,379
2016122203,7,5,336
2016122303,9,7,315
2016122403,23,21,2647
2016122503,2,2,291
2016122603,5,5,645
2016122703,7,6,258
2016122803,9,7,119
2016122903,6,5,57
2016123003,6,6,409
2016123103,6,6,214
2017010103,7,7,191
2017010203,34,29,1886
2017010303,21,19,1098
2017010403,41,41,1484
2017010503,34,32,1444
2017010603,7,7,191
2017010703,12,12,335
2017010803,24,23,1145
2017010903,32,29,1656
2017011003,41,39,1975
2017011103,54,47,2969
2017011203,32,28,1431
2017011303,19,16,1035
2017011403,15,15,956
2017011503,5,5,258
2017011603,5,5,185
2017011703,2,2,116
2017011803,7,7,658
2017011903,29,24,1234
2017012003,29,26,1438
2017012103,22,22,1253
2017012203,32,30,1576
2017012303,56,55,2399
2017012403,19,18,1185
2017012503,4,2,93
2017012603,9,9,329
2017012703,2,2,74
2017012803,16,15,781
2017012903,2,1,331
2017013003,2,1,58
2017013103,1,1,4
2017020103,4,4,101
2017020203,9,9,186
2017020303,13,13,721
2017020403,10,10,880
2017020503,2,2,28
2017020603,17,16,529
2017020703,15,13,861
2017020803,5,5,96
2017020903,18,17,1120
2017021003,26,26,1094
2017021103,23,22,1246
2017021203,6,6,15
2017021303,7,6,149
2017021403,10,6,827
2017021503,6,6,86
2017021603,10,7,220
2017021703,10,9,341
2017021803,17,16,1214
2017021903,13,12,659
2017022003,28,24,1141
2017022103,33,30,1577
2017022203,22,22,1394
2017022303,16,13,527
2017022403,6,6,118
2017022503,6,7,231
2017022603,2,2,190
2017022703,15,15,475
2017022803,11,11,503
2017030103,2,2,91
2017030203,5,5,224
2017030303,1,1,21
2017030403,7,6,231
2017030503,28,22,2062
2017030603,13,15,347
2017030703,15,13,1124
2017030803,2,2,46
2017030903,1,1,23
2017031003,1,1,56
2017031103,1,1,18
2017031203,9,9,63
2017031303,1,1,1
2017031403,5,5,201
2017031503,2,2,295
2017031603,4,4,106
2017031703,2,2,38
2017031803,2,2,37
2017031903,2,2,9
2017032003,2,2,7
2017032103,2,2,76
2017032203,5,5,111
2017032303,2,2,16
2017032403,2,2,63
2017032503,9,9,212
2017032603,4,4,71
2017032703,11,11,80
2017032803,6,6,72
2017032903,5,5,33
2017033003,9,9,198
2017033103,4,4,10
2017040103,5,5,52
2017040203,7,6,511
2017040403,4,4,85
2017040503,10,10,67
2017040603,4,4,52
2017040703,15,15,785
2017040803,13,12,447
2017040903,5,5,105
2017041003,2,2,16
2017041203,2,2,149
2017041303,6,6,197
2017041403,4,4,151
2017041503,2,2,19
2017041703,1,1,28
2017041803,5,5,189
2017041903,6,6,196
2017042003,12,12,466
2017042103,5,5,66
2017042203,2,1,29
2017042303,2,2,94
2017042403,2,2,35
2017042503,1,1,123
2017042603,2,2,51
2017042703,1,1,11
2017042803,2,2,106
2017042903,1,1,2
2017043003,5,5,114
2017050103,1,1,2
2017050203,2,2,52
2017050403,1,1,28
2017050503,1,1,4
2017050603,1,1,190
2017050703,11,11,245
2017050903,4,4,88
2017051003,1,1,4
2017051203,2,2,13
2017051303,6,5,46
2017051403,2,2,23
2017051703,4,2,51
2017051803,4,4,67
2017051903,1,1,19
2017052003,5,5,24
2017052203,5,5,24
2017052303,1,1,9
2017052603,1,1,4
2017052703,4,4,227
2017052803,2,1,12
2017052903,1,1,0
2017053003,5,5,71
2017053103,4,4,27
2017060203,4,4,15
2017060303,4,2,72
2017060403,2,2,10
2017060503,4,4,15
2017060603,1,1,28
2017060803,1,1,17
2017060903,2,2,61
2017061103,5,5,44
2017061203,7,9,239
2017061303,5,5,127
2017061403,1,1,12
2017061503,5,6,18
2017061703,4,2,15
2017062003,2,2,68
2017062103,1,1,23
2017062303,2,2,84
2017062403,4,4,23
2017062503,2,2,52
2017062603,2,2,111
2017062703,7,7,67
2017062903,4,4,16
2017063003,2,2,17
2017070103,1,0,494
2017070203,1,1,4
2017070303,4,4,15
2017070403,1,1,7
2017070503,1,1,2
2017070603,1,1,7
2017070703,2,2,9
2017070803,2,2,38
2017071003,1,1,91
2017071103,6,7,145
2017071203,4,4,55
2017071403,5,5,30
2017071603,2,2,6
2017071803,1,1,4
2017072003,4,5,24
2017072103,4,4,10
2017072203,1,1,4
2017072303,2,2,28
2017072403,2,2,24
2017072603,5,5,256
2017072703,5,5,22
2017073003,1,1,12
2017080103,1,1,6
2017080303,1,1,2
2017080403,1,1,17
2017080503,1,1,47
2017080703,1,1,23
2017080803,4,4,9
2017080903,1,1,74
2017081103,2,2,9
2017081303,1,1,33
2017081703,1,1,13
2017081803,1,1,4
2017081903,2,2,5
2017082103,2,2,32
2017082203,1,1,261
2017082303,2,2,6
2017082403,4,4,72
2017082503,4,2,13
2017082603,1,1,52
2017082703,2,2,178
2017082903,1,1,4
2017083103,2,2,4
2017090103,4,4,82
2017090403,2,2,94
2017090503,2,2,121
2017090603,2,2,33
2017090803,1,1,19
2017090903,1,1,212
2017091103,2,1,21
2017091203,1,1,12
2017091303,1,1,121
2017091503,2,2,7
2017091603,1,1,5
2017091703,2,2,110
2017091803,1,0,15
2017091903,1,1,4
2017092003,1,1,10
2017092103,4,2,152
2017092203,1,1,4
2017092303,1,1,4
2017092803,1,1,23
2017092903,1,1,11
