Date,Users,Sessions,Total Events
2016010109,72,68,4667
2016010209,78,77,2731
2016010309,112,111,6543
2016010409,189,178,10455
2016010509,331,308,20898
2016010609,362,319,24681
2016010709,261,242,17761
2016010809,147,140,9197
2016010909,183,166,9808
2016011009,100,96,6235
2016011109,104,95,4987
2016011209,93,86,4972
2016011309,255,229,14048
2016011409,190,184,10267
2016011509,323,306,21397
2016011609,189,174,11499
2016011709,152,147,6832
2016011809,252,228,13718
2016011909,309,286,21485
2016012009,136,125,7758
2016012109,124,122,6927
2016012209,149,140,7615
2016012309,219,209,11686
2016012409,95,86,5269
2016012509,101,94,5331
2016012609,72,69,3971
2016012709,54,54,2087
2016012809,68,65,3080
2016012909,156,146,8254
2016013009,225,212,14075
2016013109,274,261,17479
2016020109,244,223,14590
2016020209,240,222,16573
2016020309,105,100,4716
2016020409,114,102,4926
2016020509,72,67,4166
2016020609,46,43,2846
2016020709,41,41,1955
2016020809,56,54,2711
2016020909,50,45,2531
2016021009,32,29,1780
2016021109,35,33,1757
2016021209,46,45,2513
2016021309,32,28,1229
2016021409,26,26,1150
2016021509,44,40,1989
2016021609,32,30,1629
2016021709,114,110,5708
2016021809,367,347,22554
2016021909,119,116,6407
2016022009,58,57,3077
2016022109,37,34,2003
2016022209,62,57,1931
2016022309,45,45,2221
2016022409,51,46,2239
2016022509,40,39,1415
2016022609,35,34,1835
2016022709,37,33,1200
2016022809,35,34,1724
2016022909,35,32,1894
2016030109,35,34,1633
2016030209,38,38,1460
2016030309,57,54,2623
2016030409,62,60,2936
2016030509,88,84,5291
2016030609,194,183,9936
2016030709,337,304,22736
2016030809,112,106,5320
2016030909,104,97,5074
2016031009,104,91,4836
2016031109,167,153,8962
2016031209,141,136,10237
2016031309,207,202,11777
2016031409,191,181,11666
2016031509,80,73,3960
2016031609,61,60,3446
2016031709,49,45,2118
2016031809,49,46,2372
2016031909,23,21,1325
2016032009,39,37,1779
2016032109,96,89,4252
2016032209,145,133,8859
2016032309,90,85,5385
2016032409,63,58,3221
2016032509,52,51,2445
2016032609,21,21,1431
2016032709,45,40,2417
2016032809,364,330,21282
2016032909,144,130,7852
2016033009,68,65,3043
2016033109,57,56,2893
2016040109,24,22,1337
2016040209,29,29,1460
2016040309,17,17,597
2016040409,41,39,1639
2016040509,28,27,923
2016040609,26,24,660
2016040709,30,27,1750
2016040809,38,30,1309
2016040909,58,54,2107
2016041009,49,45,2186
2016041109,33,29,1141
2016041209,43,39,1655
2016041309,33,27,928
2016041409,79,77,4224
2016041509,54,49,2347
2016041609,26,23,1537
2016041709,23,22,1621
2016041809,38,33,1266
2016041909,27,26,1236
2016042009,22,19,617
2016042109,24,26,443
2016042209,89,86,3909
2016042309,79,68,4064
2016042409,29,29,2001
2016042509,90,85,4268
2016042609,60,55,3085
2016042709,52,46,2725
2016042809,68,63,2448
2016042909,45,39,2392
2016043009,55,52,3048
2016050109,16,13,764
2016050209,24,19,895
2016050309,27,28,1170
2016050409,44,39,2012
2016050509,68,62,2915
2016050609,69,67,3866
2016050709,43,37,1919
2016050809,32,29,2321
2016050909,39,38,1523
2016051009,37,35,1684
2016051109,29,24,1366
2016051209,24,23,1038
2016051309,16,15,715
2016051409,16,16,516
2016051509,22,22,525
2016051609,23,23,924
2016051709,37,37,1454
2016051809,29,26,1522
2016051909,19,19,807
2016052009,77,72,3784
2016052109,77,73,3256
2016052209,32,27,891
2016052309,35,28,1038
2016052409,46,44,1845
2016052509,30,28,984
2016052609,38,35,1034
2016052709,35,34,1545
2016052809,10,11,404
2016052909,9,7,547
2016053009,15,11,805
2016053109,26,24,1273
2016060109,23,17,871
2016060209,27,27,1180
2016060309,16,15,414
2016060409,9,7,82
2016060509,16,15,537
2016060609,13,12,630
2016060709,17,16,577
2016060809,17,16,563
2016060909,27,23,1579
2016061009,17,15,840
2016061109,9,9,363
2016061209,13,13,662
2016061309,30,28,1320
2016061409,27,27,1195
2016061509,27,26,1191
2016061609,41,40,1805
2016061709,33,29,1130
2016061809,21,19,989
2016061909,16,16,653
2016062009,21,18,737
2016062109,29,26,1359
2016062209,22,18,838
2016062309,16,15,884
2016062409,21,18,880
2016062509,12,12,493
2016062609,17,17,1072
2016062709,16,13,479
2016062809,21,19,1086
2016062909,27,24,841
2016063009,23,23,619
2016070109,29,28,1017
2016070209,18,19,1509
2016070309,18,16,697
2016070409,13,13,524
2016070509,22,18,1134
2016070609,28,26,1445
2016070709,15,12,750
2016070809,19,18,587
2016070909,16,16,840
2016071009,15,15,520
2016071109,23,19,1340
2016071209,18,15,546
2016071309,23,19,636
2016071409,17,15,1052
2016071509,22,18,656
2016071609,7,7,268
2016071709,9,9,257
2016071809,19,19,451
2016071909,19,17,472
2016072009,29,27,1108
2016072109,23,21,878
2016072209,21,22,447
2016072309,17,16,820
2016072409,16,16,637
2016072509,21,19,732
2016072609,21,19,617
2016072709,27,28,1304
2016072809,19,18,795
2016072909,13,13,633
2016073009,11,11,655
2016073109,23,19,466
2016080109,21,19,876
2016080209,17,15,365
2016080309,30,28,1819
2016080409,19,17,781
2016080509,28,26,796
2016080609,13,13,727
2016080709,12,12,532
2016080809,23,23,513
2016080909,26,23,751
2016081009,17,12,594
2016081109,19,18,918
2016081209,12,10,375
2016081309,13,11,296
2016081409,11,10,507
2016081509,26,24,738
2016081609,26,26,1288
2016081709,37,34,1640
2016081809,43,43,2073
2016081909,19,19,777
2016082009,10,9,280
2016082109,11,10,412
2016082209,22,21,1045
2016082309,29,24,982
2016082409,39,38,871
2016082509,22,24,863
2016082609,24,24,1075
2016082709,24,22,1527
2016082809,9,9,283
2016082909,19,18,1027
2016083009,27,26,1443
2016083109,28,26,1522
2016090109,11,11,570
2016090209,29,27,1103
2016090309,16,15,803
2016090409,22,21,749
2016090509,34,32,1232
2016090609,32,28,1324
2016090709,28,26,922
2016090809,16,13,649
2016090909,21,16,973
2016091009,11,12,896
2016091109,15,15,804
2016091209,26,23,792
2016091309,44,41,2664
2016091409,30,29,951
2016091509,17,16,893
2016091609,26,23,1204
2016091709,15,15,762
2016091809,12,12,669
2016091909,22,19,835
2016092009,18,18,883
2016092109,39,34,2289
2016092209,21,17,1287
2016092309,32,27,1352
2016092409,19,18,547
2016092509,15,15,1312
2016092609,22,21,1010
2016092709,17,16,994
2016092809,19,19,1070
2016092909,23,21,896
2016093009,21,17,973
2016100109,17,17,567
2016100209,28,28,1318
2016100309,79,77,4336
2016100409,43,39,2859
2016100509,33,30,1477
2016100609,32,28,1069
2016100709,32,28,1001
2016100809,13,12,760
2016100909,13,13,1214
2016101009,37,37,1467
2016101109,26,23,1103
2016101209,19,18,470
2016101309,28,23,1103
2016101409,138,124,7592
2016101509,40,38,1428
