Date,Users,Sessions,Total Events
2016010119,33,32,504
2016010219,38,38,1368
2016010319,57,58,2640
2016010419,57,52,1821
2016010519,97,91,5882
2016010619,104,94,3820
2016010719,62,58,2087
2016010819,33,33,1712
2016010919,39,35,1482
2016011019,33,30,1441
2016011119,16,16,291
2016011219,19,18,432
2016011319,74,63,5060
2016011419,105,96,4565
2016011519,52,52,1940
2016011619,44,43,1484
2016011719,66,65,3835
2016011819,40,38,1005
2016011919,32,30,1620
2016012019,26,24,481
2016012119,26,24,1670
2016012219,68,62,2393
2016012319,52,49,1217
2016012419,32,28,1439
2016012519,39,39,1671
2016012619,22,19,414
2016012719,19,18,1146
2016012819,27,24,632
2016012919,78,74,3357
2016013019,46,41,1560
2016013119,212,185,8415
2016020119,38,38,876
2016020219,32,32,1212
2016020319,50,45,2000
2016020419,19,19,352
2016020519,18,17,370
2016020619,16,13,610
2016020719,9,6,224
2016020819,13,11,683
2016020919,19,19,244
2016021019,19,18,1269
2016021119,17,16,705
2016021219,12,11,340
2016021319,15,13,608
2016021419,9,9,284
2016021519,18,15,331
2016021619,15,13,1341
2016021719,54,47,2360
2016021819,45,43,2001
2016021919,37,30,956
2016022019,19,16,927
2016022119,22,22,486
2016022219,12,11,239
2016022319,17,17,402
2016022419,13,12,365
2016022519,21,17,442
2016022619,13,12,626
2016022719,13,13,544
2016022819,12,12,298
2016022919,7,7,155
2016030119,10,10,662
2016030219,9,9,175
2016030319,17,16,490
2016030419,30,29,1219
2016030519,84,77,5035
2016030619,110,90,7700
2016030719,63,57,3953
2016030819,37,32,1346
2016030919,23,21,1040
2016031019,57,49,2527
2016031119,83,66,4093
2016031219,99,94,4667
2016031319,181,169,10413
2016031419,49,46,2423
2016031519,30,30,1368
2016031619,22,21,1038
2016031719,13,13,382
2016031819,19,17,1010
2016031919,13,13,396
2016032019,49,49,2313
2016032119,96,89,5448
2016032219,40,33,2201
2016032319,32,28,1654
2016032419,13,13,1192
2016032519,21,18,1344
2016032619,17,15,991
2016032719,16,16,1171
2016032819,101,96,4585
2016032919,52,49,3568
2016033019,29,24,1642
2016033119,11,10,287
2016040119,18,16,901
2016040219,12,11,412
2016040319,7,7,448
2016040419,10,9,284
2016040519,6,6,107
2016040619,9,7,859
2016040719,11,11,367
2016040819,23,22,1288
2016040919,38,35,1386
2016041019,13,12,504
2016041119,11,10,306
2016041219,12,12,598
2016041319,9,6,423
2016041419,21,15,633
2016041519,17,12,1321
2016041619,11,11,504
2016041719,15,13,1077
2016041819,6,6,151
2016041919,6,5,175
2016042019,9,9,360
2016042119,10,10,151
2016042219,110,96,4783
2016042319,19,17,868
2016042419,32,29,1347
2016042519,30,28,1154
2016042619,29,23,1243
2016042719,43,41,1754
2016042819,15,15,486
2016042919,19,18,894
2016043019,10,9,440
2016050119,24,23,1657
2016050219,12,11,236
2016050319,15,13,595
2016050419,17,16,727
2016050519,41,39,1523
2016050619,19,19,917
2016050719,15,13,460
2016050819,18,15,442
2016050919,15,11,482
2016051019,15,15,430
2016051119,11,9,364
2016051219,7,7,213
2016051319,11,10,313
2016051419,18,18,827
2016051519,17,18,834
2016051619,16,16,498
2016051719,12,11,438
2016051819,10,9,520
2016051919,9,7,285
2016052019,133,129,7185
2016052119,38,35,1326
2016052219,11,11,287
2016052319,27,27,1119
2016052419,15,15,535
2016052519,26,24,688
2016052619,17,17,375
2016052719,16,16,1475
2016052819,9,9,637
2016052919,10,10,45
2016053019,19,18,614
2016053119,15,13,421
2016060119,17,16,251
2016060219,9,9,184
2016060319,12,11,464
2016060419,10,10,319
2016060519,13,13,476
2016060619,12,12,872
2016060719,11,10,708
2016060819,4,2,133
2016060919,11,9,435
2016061019,12,12,291
2016061119,16,15,446
2016061219,10,10,261
2016061319,12,12,569
2016061419,13,12,550
2016061519,15,13,507
2016061619,12,10,303
2016061719,13,10,619
2016061819,12,12,555
2016061919,10,10,324
2016062019,10,10,427
2016062119,9,9,130
2016062219,15,13,201
2016062319,11,10,549
2016062419,12,10,444
2016062519,16,13,477
2016062619,12,11,205
2016062719,18,16,723
2016062819,11,10,557
2016062919,13,12,511
2016063019,16,16,250
2016070119,24,19,1409
2016070219,9,9,118
2016070319,12,11,740
2016070419,21,21,560
2016070519,17,17,447
2016070619,13,11,496
2016070719,10,9,224
2016070819,12,10,676
2016070919,13,12,686
2016071019,13,12,408
2016071119,12,12,334
2016071219,6,6,152
2016071319,12,10,287
2016071419,15,15,368
2016071519,7,7,363
2016071619,9,9,197
2016071719,6,6,153
2016071819,5,5,117
2016071919,12,11,977
2016072019,13,13,715
2016072119,6,6,603
2016072219,9,9,309
2016072319,6,6,341
2016072419,5,5,177
2016072519,13,12,622
2016072619,11,11,314
2016072719,17,17,1899
2016072819,9,9,123
2016072919,12,12,533
2016073019,11,10,191
2016073119,11,11,130
2016080119,13,11,423
2016080219,18,16,746
2016080319,21,21,609
2016080419,5,5,34
2016080519,15,15,682
2016080619,12,12,827
2016080719,6,6,522
2016080819,11,11,168
2016080919,10,7,219
2016081019,10,10,250
2016081119,12,11,374
2016081219,9,9,265
2016081319,6,6,418
2016081419,10,9,252
2016081519,7,6,278
2016081619,16,11,440
2016081719,15,16,454
2016081819,9,9,331
2016081919,9,7,578
2016082019,10,9,326
2016082119,11,9,281
2016082219,12,11,469
2016082319,32,29,928
2016082419,17,17,552
2016082519,15,13,871
2016082619,15,15,565
2016082719,10,10,434
2016082819,16,13,414
2016082919,7,9,207
2016083019,17,18,444
2016083119,16,16,475
2016090119,9,9,302
2016090219,10,10,234
2016090319,12,12,283
2016090419,17,16,726
2016090519,50,45,1393
2016090619,9,10,325
2016090719,17,16,643
2016090819,7,9,175
2016090919,10,10,474
2016091019,9,7,269
2016091119,16,16,549
2016091219,11,10,390
2016091319,18,18,897
2016091419,9,9,136
2016091519,10,7,477
2016091619,13,12,501
2016091719,6,5,768
2016091819,5,4,207
2016091919,12,13,465
2016092019,13,10,958
2016092119,10,9,577
2016092219,15,15,613
2016092319,11,11,502
2016092419,27,24,583
2016092519,7,7,132
2016092619,7,6,330
2016092719,13,10,561
2016092819,7,7,466
2016092919,13,13,200
2016093019,9,6,275
2016100119,9,7,307
2016100219,60,54,3087
2016100319,21,19,951
2016100419,11,10,550
2016100519,10,10,280
2016100619,5,5,32
2016100719,13,11,416
2016100819,5,5,147
2016100919,6,6,228
2016101019,11,7,174
2016101119,5,4,102
2016101219,6,6,211
2016101319,22,17,1131
2016101419,29,23,1743
2016101519,26,23,1090
2016101619,51,46,2468
2016101719,32,28,960
2016101819,12,12,290
2016101919,12,13,435
2016102019,11,9,370
2016102119,9,7,328
2016102219,7,7,464
2016102319,16,16,1016
2016102419,17,16,807
2016102519,11,11,399
2016102619,37,37,466
2016102719,37,35,1640
2016102819,15,11,539
2016102919,15,11,370
2016103019,125,123,7394
2016103119,27,24,1320
2016110119,17,16,526
2016110219,13,12,451
2016110319,5,5,68
2016110419,15,15,436
2016110519,11,10,326
2016110619,6,6,168
2016110719,10,10,196
2016110819,10,10,627
2016110919,9,7,149
2016111019,9,9,396
2016111119,5,5,135
2016111219,10,7,321
2016111319,13,11,298
2016111419,11,11,407
2016111519,19,17,582
2016111619,27,26,1096
2016111719,26,22,1319
2016111819,12,10,838
2016111919,86,80,4522
2016112019,54,50,2499
2016112119,23,19,648
2016112219,46,44,2047
2016112319,50,47,2612
2016112419,27,26,911
2016112519,22,21,944
2016112619,142,128,7152
2016112719,60,54,3211
2016112819,41,39,1391
2016112919,26,24,813
2016113019,35,34,1375
2016120119,28,27,615
2016120219,22,23,670
2016120319,22,22,760
2016120419,23,22,992
2016120519,21,18,748
2016120619,54,52,2265
2016120719,147,129,7593
2016120819,79,76,3545
2016120919,61,56,2651
2016121019,73,69,3247
2016121119,41,40,1907
2016121219,39,37,1726
2016121319,57,57,2465
2016121419,91,85,5637
2016121519,130,117,4718
2016121619,93,88,4084
2016121719,37,33,1064
2016121819,29,29,1228
2016121919,40,41,844
2016122019,47,41,1683
2016122119,43,39,1967
2016122219,43,40,1741
2016122319,169,153,9616
2016122419,78,69,4138
2016122519,45,43,1538
2016122619,47,43,1992
2016122719,30,29,1036
2016122819,41,39,1347
2016122919,33,32,1806
2016123019,45,44,1223
2016123119,44,40,2710
2017010119,133,123,7599
2017010219,275,247,15477
2017010319,225,209,11851
2017010419,228,201,13374
2017010519,141,135,6823
2017010619,77,72,2775
2017010719,191,172,9790
2017010819,281,263,11548
2017010919,208,196,11767
2017011019,334,312,19784
2017011119,220,205,13343
2017011219,163,146,7000
2017011319,94,89,4305
2017011419,61,57,1293
2017011519,52,50,2481
2017011619,51,51,1700
2017011719,73,65,2872
2017011819,223,196,15544
2017011919,132,123,4335
2017012019,179,164,9678
2017012119,130,123,8108
2017012219,434,401,24942
2017012319,139,128,4730
2017012419,73,68,2332
2017012519,60,56,2221
2017012619,60,56,1292
2017012719,32,26,1232
2017012819,33,29,620
2017012919,29,27,1332
2017013019,32,28,880
2017013119,23,21,516
2017020119,51,49,1534
2017020219,61,56,1936
2017020319,122,114,4956
2017020419,58,55,1679
2017020519,71,68,3506
2017020619,114,110,6449
2017020719,85,80,4592
2017020819,68,66,2418
2017020919,156,142,8406
2017021019,161,145,7355
2017021119,84,80,2879
2017021219,118,108,3932
2017021319,76,67,2551
2017021419,61,57,2495
2017021519,62,58,1502
2017021619,84,83,2054
2017021719,133,119,7279
2017021819,85,79,3484
2017021919,112,100,5565
2017022019,209,183,13159
2017022119,189,177,10804
2017022219,121,114,5465
2017022319,112,108,3930
2017022419,65,56,2904
2017022519,65,60,2014
2017022619,85,78,3818
2017022719,50,46,1907
2017022819,33,29,897
2017030119,39,35,799
2017030219,23,21,1303
2017030319,43,40,1299
2017030419,100,91,4190
2017030519,203,181,11173
2017030619,119,112,5341
2017030719,52,45,2028
2017030819,52,45,1521
2017030919,56,51,1584
2017031019,28,27,1799
2017031119,29,27,552
2017031219,27,22,1477
2017031319,30,29,1168
2017031419,32,30,1453
2017031519,34,33,1465
2017031619,47,44,1369
2017031719,37,32,812
2017031819,22,21,817
2017031919,34,30,1452
2017032019,38,38,1567
2017032119,61,56,3338
2017032219,47,45,1656
2017032319,39,39,1640
2017032419,105,96,4356
2017032519,41,40,1962
2017032619,50,50,2057
2017032719,41,38,1027
2017032819,29,28,1243
2017032919,26,23,482
2017033019,66,65,2598
2017033119,38,37,1499
2017040119,33,33,1819
2017040219,28,27,904
2017040319,35,32,766
2017040419,22,19,637
2017040519,22,21,328
2017040619,79,77,3238
2017040719,96,91,4480
2017040819,46,41,1486
2017040919,32,30,980
2017041019,23,21,857
2017041119,40,37,838
2017041219,35,35,1304
2017041319,118,112,6653
2017041419,35,35,1056
2017041519,19,19,649
2017041619,50,49,2052
2017041719,58,54,2434
2017041819,28,26,794
2017041919,24,22,509
2017042019,18,17,844
2017042119,23,22,1019
2017042219,23,23,576
2017042319,27,26,865
2017042419,35,32,1080
2017042519,29,27,922
2017042619,29,27,765
2017042719,18,15,829
2017042819,27,26,1456
2017042919,26,26,905
2017043019,19,19,454
2017050119,24,23,594
2017050219,27,24,615
2017050319,32,30,529
2017050419,19,17,773
2017050519,24,26,800
2017050619,80,74,3216
2017050719,26,21,1090
2017050819,18,17,360
2017050919,23,22,470
2017051019,18,16,317
2017051119,23,21,567
2017051219,17,16,578
2017051319,21,21,599
2017051419,21,21,1133
2017051519,26,23,1621
2017051619,33,32,2649
2017051719,16,13,379
2017051819,27,23,891
2017051919,17,16,149
2017052019,9,6,163
2017052119,16,17,357
2017052219,17,15,541
2017052319,24,22,904
2017052419,33,29,973
2017052519,22,22,726
2017052619,12,10,378
2017052719,15,12,152
2017052819,17,17,320
2017052919,33,33,1102
2017053019,15,15,454
2017053119,23,23,790
2017060119,16,16,519
2017060219,16,16,615
2017060319,5,5,127
2017060419,15,15,280
2017060519,22,19,376
2017060619,17,17,716
