Date,Users,Sessions,Total Events
2016010107,32,29,1034
2016010207,33,30,1861
2016010307,40,39,1786
2016010407,73,68,2538
2016010507,144,140,7055
2016010607,145,140,6118
2016010707,122,119,6885
2016010807,74,72,2563
2016010907,69,60,2900
2016011007,38,38,1304
2016011107,35,34,1336
2016011207,41,41,1288
2016011307,102,93,3672
2016011407,86,79,3916
2016011507,141,132,7814
2016011607,67,60,3163
2016011707,52,50,1906
2016011807,111,104,5246
2016011907,95,90,4595
2016012007,68,63,2714
2016012107,47,39,1814
2016012207,86,83,3903
2016012307,72,66,3219
2016012407,38,35,1562
2016012507,72,71,3142
2016012607,26,22,1017
2016012707,27,26,846
2016012807,30,29,1428
2016012907,66,65,2180
2016013007,100,97,4498
2016013107,113,107,5178
2016020107,149,136,8053
2016020207,121,113,6578
2016020307,61,60,2380
2016020407,58,56,2938
2016020507,41,35,1091
2016020607,18,18,503
2016020707,19,19,382
2016020807,37,35,1091
2016020907,21,21,448
2016021007,30,26,594
2016021107,38,35,1264
2016021207,15,13,203
2016021307,21,19,655
2016021407,13,13,308
2016021507,32,30,882
2016021607,17,17,676
2016021707,33,30,2121
2016021807,156,153,8014
2016021907,71,68,2531
2016022007,38,37,2143
2016022107,17,17,826
2016022207,44,40,1522
2016022307,29,29,606
2016022407,27,27,1279
2016022507,22,21,1341
2016022607,24,26,863
2016022707,21,21,683
2016022807,13,12,242
2016022907,23,22,1075
2016030107,24,23,750
2016030207,39,40,1853
2016030307,30,29,1286
2016030407,32,30,1052
2016030507,77,73,3746
2016030607,142,142,7812
2016030707,222,206,13321
2016030807,69,66,3338
2016030907,68,69,3377
2016031007,55,51,2112
2016031107,67,65,3108
2016031207,68,67,2987
2016031307,65,63,2792
2016031407,106,104,4242
2016031507,29,28,833
2016031607,32,29,1930
2016031707,33,33,893
2016031807,26,22,1795
2016031907,12,12,169
2016032007,9,9,231
2016032107,54,51,1883
2016032207,82,79,3624
2016032307,58,54,3013
2016032407,32,32,1672
2016032507,28,30,1371
2016032607,30,30,1656
2016032707,10,10,465
2016032807,122,117,6755
2016032907,76,71,3776
2016033007,39,37,1383
2016033107,32,30,1830
2016040107,19,17,648
2016040207,7,7,242
2016040307,7,7,191
2016040407,18,18,312
2016040507,23,22,574
2016040607,18,17,681
2016040707,18,18,604
2016040807,17,13,525
2016040907,17,17,453
2016041007,21,19,1046
2016041107,13,12,560
2016041207,13,13,296
2016041307,22,21,661
2016041407,72,68,3762
2016041507,37,34,1581
2016041607,34,32,3023
2016041707,17,16,1123
2016041807,18,19,332
2016041907,12,11,552
2016042007,18,18,346
2016042107,18,18,575
2016042207,46,45,1930
2016042307,58,60,2275
2016042407,23,24,1051
2016042507,49,50,2109
2016042607,38,37,1847
2016042707,41,38,1342
2016042807,39,37,1191
2016042907,22,23,564
2016043007,26,24,1528
2016050107,22,21,757
2016050207,32,29,1242
2016050307,22,22,529
2016050407,26,24,1016
2016050507,43,41,1595
2016050607,61,61,2058
2016050707,26,26,677
2016050807,19,18,1050
2016050907,17,17,716
2016051007,15,15,459
2016051107,15,15,753
2016051207,18,19,358
2016051307,21,19,397
2016051407,15,13,610
2016051507,16,13,1975
2016051607,17,18,347
2016051707,22,22,516
2016051807,22,21,997
2016051907,22,21,591
2016052007,37,34,1481
2016052107,60,57,2947
2016052207,21,21,690
2016052307,23,22,1526
2016052407,27,26,955
2016052507,17,15,667
2016052607,29,28,723
2016052707,24,24,1050
2016052807,12,12,183
2016052907,11,10,130
2016053007,5,4,202
2016053107,10,10,369
2016060107,22,19,989
2016060207,18,18,509
2016060307,23,21,600
2016060407,7,6,101
2016060507,6,6,95
2016060607,5,4,100
2016060707,10,11,186
2016060807,21,21,412
2016060907,15,13,393
2016061007,9,9,592
2016061107,9,9,380
2016061207,6,6,224
2016061307,12,9,454
2016061407,10,10,150
2016061507,16,15,535
2016061607,21,21,1193
