Date,Users,Sessions,Total Events
2016010121,19,21,599
2016010221,40,39,781
2016010321,37,35,1369
2016010421,68,66,2787
2016010521,84,79,3310
2016010621,79,74,3838
2016010721,62,60,2269
2016010821,40,38,2002
2016010921,38,35,1455
2016011021,19,18,869
2016011121,11,10,248
2016011221,24,22,656
2016011321,51,50,2580
2016011421,113,107,6459
2016011521,50,47,1712
2016011621,41,38,1840
2016011721,86,84,4417
2016011821,33,27,1085
2016011921,41,40,1872
2016012021,32,32,1074
2016012121,32,29,1109
2016012221,65,61,2275
2016012321,46,45,1545
2016012421,32,29,1263
2016012521,23,22,351
2016012621,18,17,414
2016012721,22,22,358
2016012821,35,35,745
2016012921,55,50,2544
2016013021,40,37,2138
2016013121,132,121,6483
2016020121,33,32,1365
2016020221,26,24,652
2016020321,29,29,1293
2016020421,18,17,611
2016020521,19,19,810
2016020621,19,21,293
2016020721,13,11,163
2016020821,6,5,181
2016020921,19,21,527
2016021021,17,13,432
2016021121,11,11,170
2016021221,13,13,326
2016021321,12,11,262
2016021421,12,10,352
2016021521,15,15,680
2016021621,10,10,298
2016021721,56,55,2836
2016021821,28,28,1012
2016021921,29,28,1051
2016022021,11,11,458
2016022121,12,12,490
2016022221,12,10,236
2016022321,10,9,94
2016022421,11,10,172
2016022521,2,2,19
2016022621,6,6,146
2016022721,5,4,29
2016022821,11,10,133
2016022921,12,11,180
2016030121,17,17,588
2016030221,16,15,554
2016030321,5,5,108
2016030421,24,24,1348
2016030521,84,78,4797
2016030621,125,116,9107
2016030721,28,28,1024
2016030821,27,26,947
2016030921,13,11,414
2016031021,43,43,1341
2016031121,51,45,2345
2016031221,61,60,2483
2016031321,119,112,4541
2016031421,30,28,1181
2016031521,17,16,729
2016031621,15,13,324
2016031721,22,22,695
2016031821,15,15,491
2016031921,10,10,246
2016032021,26,23,1276
2016032121,46,43,2583
2016032221,12,12,487
2016032321,27,27,555
2016032421,12,12,482
2016032521,13,13,468
2016032621,13,12,341
2016032721,26,23,1264
2016032821,37,35,1698
2016032921,27,26,841
2016033021,15,15,290
2016033121,17,18,135
2016040121,11,11,505
2016040221,6,6,52
2016040321,13,12,606
2016040421,17,17,588
2016040521,9,9,373
2016040621,9,9,309
2016040721,15,15,566
2016040821,15,15,485
2016040921,28,28,1298
2016041021,15,12,626
2016041121,4,4,54
2016041221,11,11,454
2016041321,12,11,167
2016041421,13,12,453
2016041521,18,16,1169
2016041621,12,12,1111
2016041721,6,6,212
2016041821,6,6,83
2016041921,7,7,437
2016042021,9,7,214
2016042121,9,9,362
2016042221,55,51,3048
2016042321,6,6,203
2016042421,29,29,975
2016042521,12,9,449
2016042621,18,16,330
2016042721,23,21,794
2016042821,12,11,108
2016042921,28,26,1312
2016043021,11,10,229
2016050121,21,19,321
2016050221,7,7,69
2016050321,15,13,235
2016050421,9,9,153
2016050521,15,13,804
2016050621,18,16,295
2016050721,21,19,855
2016050821,9,7,162
2016050921,9,9,268
2016051021,6,5,487
2016051121,16,16,166
2016051221,7,6,259
2016051321,7,6,241
2016051421,4,2,34
2016051521,6,5,202
2016051621,7,7,388
2016051721,6,6,62
2016051821,7,7,144
2016051921,9,9,342
2016052021,89,80,5107
2016052121,34,33,1691
2016052221,16,15,246
2016052321,9,9,645
2016052421,12,12,188
2016052521,11,11,97
2016052621,4,4,129
2016052721,10,10,279
2016052821,6,6,224
2016052921,7,6,253
2016053021,10,10,511
2016053121,7,6,122
2016060121,17,17,566
2016060221,4,2,261
2016060321,4,4,52
2016060421,7,7,228
2016060521,10,9,151
2016060621,10,10,564
2016060721,12,12,114
2016060821,7,7,269
2016061021,11,11,264
2016061121,12,12,630
2016061221,7,6,351
2016061321,12,10,270
2016061421,11,10,127
2016061521,12,11,508
2016061621,11,10,286
2016061721,9,7,63
2016061821,16,16,524
2016061921,9,9,225
2016062021,6,6,332
2016062121,9,9,340
2016062221,4,4,248
2016062321,9,6,475
2016062421,10,9,779
2016062521,11,9,406
2016062621,7,9,213
2016062721,12,11,444
2016062821,7,7,136
2016062921,11,10,286
2016063021,10,10,209
2016070121,16,16,608
2016070221,7,6,247
2016070321,7,6,246
2016070421,11,11,296
2016070521,13,13,521
2016070621,11,9,302
2016070721,10,9,463
2016070821,12,11,723
2016070921,6,6,441
2016071021,10,10,357
2016071121,5,4,84
2016071221,7,7,335
2016071321,5,5,140
2016071421,6,6,58
2016071521,1,1,62
2016071621,6,7,141
2016071721,12,11,281
2016071821,10,9,406
2016071921,6,6,255
2016072021,2,2,65
2016072121,2,2,74
2016072221,5,5,13
2016072321,5,5,125
2016072421,10,10,415
2016072521,9,9,430
2016072621,6,6,50
2016072721,2,2,5
2016072821,9,7,181
2016072921,7,6,136
2016073021,9,9,404
2016073121,5,5,240
2016080121,13,13,152
2016080221,7,7,163
2016080321,5,5,258
2016080421,12,11,490
2016080521,7,6,231
2016080621,6,6,91
2016080721,7,7,82
2016080821,10,9,161
2016080921,4,2,82
2016081021,6,6,68
2016081121,5,5,100
2016081221,11,10,404
2016081321,10,9,292
2016081421,9,9,360
2016081521,5,5,95
2016081621,10,10,326
2016081721,9,6,73
2016081821,10,11,385
2016081921,15,16,559
2016082021,7,6,341
2016082121,11,7,356
2016082221,9,9,363
2016082321,17,16,133
2016082421,6,5,200
2016082521,9,9,149
2016082621,6,5,58
2016082721,4,2,30
2016082821,11,11,196
2016082921,6,6,67
2016083021,7,7,284
2016083121,5,5,63
2016090121,4,2,111
2016090221,9,9,205
2016090321,7,6,69
2016090421,10,10,268
2016090521,17,16,328
2016090621,4,4,15
2016090721,10,10,186
2016090821,16,16,364
2016090921,5,5,40
2016091021,6,6,136
2016091121,15,15,239
2016091221,6,6,33
2016091321,10,9,140
2016091421,2,2,6
