Date,Users,Sessions,Total Events
2016010101,12,12,296
2016010201,5,5,61
2016010301,6,6,256
2016010401,5,5,278
2016010501,17,16,638
2016010601,22,21,744
2016010701,10,10,964
2016010801,15,13,518
2016010901,18,17,756
2016011001,11,10,653
2016011101,2,2,156
2016011201,4,2,74
2016011301,11,7,588
2016011401,13,11,373
2016011501,28,24,1142
2016011601,17,17,654
2016011701,10,10,286
2016011801,22,21,1343
2016011901,10,10,163
2016012001,10,10,164
2016012101,7,7,632
2016012201,10,7,743
2016012301,15,15,631
2016012401,13,11,516
2016012501,5,4,363
2016012601,4,4,58
2016012701,5,5,96
2016012801,9,9,247
2016012901,2,2,57
2016013001,18,19,1152
2016013101,16,12,999
2016020101,23,22,1092
2016020201,7,7,882
2016020301,6,6,580
2016020401,2,1,22
2016020501,1,1,11
2016020601,4,4,68
2016020701,5,5,128
2016020801,1,1,12
2016020901,4,4,21
2016021001,5,5,101
2016021101,5,4,125
2016021201,2,2,370
2016021301,2,2,57
2016021401,1,1,41
2016021501,1,1,22
2016021601,2,1,177
2016021701,1,1,112
2016021801,24,22,1534
2016021901,10,9,809
2016022001,2,2,10
2016022101,2,2,60
2016022201,4,4,263
2016022301,2,2,10
2016022401,4,4,149
2016022601,2,2,11
2016022701,1,1,21
2016022801,4,4,96
2016030101,4,4,424
2016030201,2,2,138
2016030301,4,4,54
2016030401,1,1,9
2016030501,7,7,274
2016030601,22,17,1142
2016030701,24,24,1951
2016030801,6,6,123
2016030901,7,7,174
2016031001,5,5,174
2016031101,7,6,257
2016031201,12,12,720
2016031301,16,12,677
2016031401,17,16,940
2016031501,5,6,84
2016031601,1,1,40
2016031701,2,2,74
2016031801,2,2,38
2016031901,2,2,6
2016032001,4,4,55
2016032101,2,2,7
2016032201,13,12,626
2016032301,1,1,1
2016032401,6,6,166
2016032501,1,1,16
2016032601,2,2,49
2016032801,6,6,297
2016032901,6,5,381
2016033001,5,2,177
2016033101,4,4,164
2016040101,1,1,2
2016040201,2,2,37
2016040401,1,1,11
2016040601,1,1,51
2016040701,2,2,27
2016040801,2,2,5
2016040901,4,4,47
2016041001,6,6,119
2016041101,1,1,19
2016041201,1,0,2
2016041401,1,1,138
2016041501,2,2,41
2016041601,4,4,32
2016041701,1,1,309
2016041801,2,2,29
2016041901,1,1,15
2016042001,2,2,250
2016042101,1,1,2
2016042201,2,2,6
2016042301,6,5,488
2016042401,1,1,5
2016042501,4,4,56
2016042601,4,2,80
2016042701,4,4,134
2016042801,5,5,56
2016042901,4,4,112
2016043001,2,2,12
2016050101,4,2,133
2016050401,1,1,28
2016050501,4,4,105
2016050601,2,2,10
2016050701,1,1,147
2016050801,2,2,5
2016051001,2,2,6
2016051101,1,1,84
2016051301,1,1,52
2016051401,5,5,33
2016051501,2,2,11
2016051601,4,4,38
2016051701,1,1,6
2016051801,2,2,6
2016052101,17,17,379
2016052301,5,5,52
2016052401,1,1,62
2016052501,2,1,23
2016052801,6,6,107
2016052901,2,2,46
2016053001,1,1,7
