Date,Users,Sessions,Total Events
2016010110,72,65,4375
2016010210,78,71,4105
2016010310,132,123,6675
2016010410,152,134,9747
2016010510,360,345,25051
2016010610,414,388,29015
2016010710,343,323,15217
2016010810,144,133,7114
2016010910,144,125,10392
2016011010,101,96,4856
2016011110,95,89,4846
2016011210,89,79,3267
2016011310,237,220,14432
2016011410,178,156,9715
2016011510,257,225,16452
2016011610,198,185,11860
2016011710,224,206,11126
2016011810,233,216,14703
2016011910,324,309,21122
2016012010,125,112,7142
2016012110,83,73,5559
2016012210,135,132,7035
2016012310,189,173,10692
2016012410,101,91,5726
2016012510,76,73,4363
2016012610,55,52,2112
2016012710,50,49,2263
2016012810,69,65,3709
2016012910,177,162,8348
2016013010,158,150,7884
2016013110,314,281,20132
2016020110,223,203,13867
2016020210,200,194,11624
2016020310,93,83,4878
2016020410,80,76,5074
2016020510,60,56,2800
2016020610,38,35,2706
2016020710,34,33,1583
2016020810,44,44,1642
2016020910,54,51,1813
2016021010,38,35,2013
2016021110,22,18,606
2016021210,45,44,2057
2016021310,37,34,2106
2016021410,34,29,1527
2016021510,44,38,2836
2016021610,35,32,1459
2016021710,106,102,4966
2016021810,302,272,18388
2016021910,133,122,6800
2016022010,61,57,2215
2016022110,40,35,2551
2016022210,39,37,2207
2016022310,33,33,1466
2016022410,30,29,1419
2016022510,38,35,1620
2016022610,37,37,1058
2016022710,29,29,1094
2016022810,24,24,997
2016022910,35,32,1225
2016030110,39,39,1431
2016030210,26,26,2175
2016030310,43,39,1847
2016030410,54,52,2692
2016030510,102,102,6208
2016030610,160,141,9502
2016030710,276,251,15327
2016030810,69,63,4416
2016030910,71,66,3149
2016031010,101,99,5314
2016031110,138,125,7100
2016031210,116,104,6641
2016031310,234,217,13544
2016031410,141,129,7297
2016031510,55,50,2510
2016031610,50,49,3091
2016031710,33,32,2020
2016031810,47,46,2858
2016031910,28,24,1171
2016032010,38,35,2017
2016032110,77,73,3370
2016032210,106,102,5893
2016032310,60,55,2672
2016032410,51,46,2650
2016032510,45,45,2773
2016032610,28,27,1758
2016032710,22,21,1480
2016032810,325,309,19892
2016032910,99,86,4937
2016033010,66,61,4034
2016033110,52,44,2638
2016040110,22,21,483
2016040210,22,21,507
2016040310,17,15,922
2016040410,29,27,623
2016040510,32,30,957
2016040610,33,30,1271
2016040710,27,26,1397
2016040810,38,33,929
2016040910,56,50,3422
2016041010,47,46,2778
2016041110,30,29,1918
2016041210,29,26,1354
2016041310,35,34,905
2016041410,71,63,3925
2016041510,46,45,2482
2016041610,35,34,1888
2016041710,39,35,2403
2016041810,26,24,1519
2016041910,18,17,789
2016042010,18,17,673
2016042110,18,18,718
2016042210,88,83,3734
2016042310,51,49,3097
2016042410,38,34,1601
2016042510,89,84,4765
2016042610,49,44,2085
2016042710,56,55,3404
2016042810,55,54,2198
2016042910,46,44,2275
2016043010,54,49,2960
2016050110,19,19,895
2016050210,26,22,804
2016050310,19,17,597
2016050410,34,30,1366
2016050510,61,57,2876
2016050610,49,45,2242
2016050710,57,57,2071
2016050810,28,26,1204
2016050910,24,23,829
2016051010,16,13,516
2016051110,23,21,1654
2016051210,22,19,686
2016051310,13,12,732
2016051410,16,13,543
2016051510,17,16,683
2016051610,23,24,530
2016051710,18,16,459
2016051810,19,19,600
2016051910,24,23,720
2016052010,68,65,2790
2016052110,65,58,3290
2016052210,32,30,1689
2016052310,24,23,717
2016052410,33,30,1189
2016052510,52,54,1449
2016052610,29,28,492
2016052710,30,28,1310
2016052810,9,9,185
2016052910,13,13,860
2016053010,21,18,631
2016053110,21,19,790
2016060110,21,21,560
2016060210,21,19,490
2016060310,15,16,472
2016060410,9,9,465
2016060510,13,13,744
2016060610,18,18,1219
2016060710,10,7,237
2016060810,18,17,760
2016060910,17,13,443
2016061010,22,21,437
2016061110,15,15,849
2016061210,13,13,515
2016061310,38,34,908
2016061410,13,10,228
2016061510,27,24,1130
2016061610,22,19,697
2016061710,23,21,1120
2016061810,21,19,604
2016061910,11,10,620
2016062010,27,24,1119
2016062110,16,12,386
2016062210,21,21,396
2016062310,19,18,420
2016062410,19,18,303
2016062510,17,16,401
2016062610,17,15,287
2016062710,16,15,538
2016062810,10,10,301
2016062910,30,26,1351
2016063010,18,18,678
2016070110,29,28,866
2016070210,18,19,613
2016070310,18,16,502
2016070410,26,24,912
2016070510,28,29,1113
2016070610,30,28,1084
2016070710,19,19,482
2016070810,18,17,471
2016070910,9,7,151
2016071010,9,9,189
2016071110,15,15,321
2016071210,11,10,275
2016071310,15,13,525
2016071410,16,15,431
2016071510,15,13,387
2016071610,9,10,650
2016071710,15,13,474
2016071810,13,12,555
2016071910,23,22,992
2016072010,19,16,732
2016072110,24,21,699
2016072210,13,12,507
2016072310,12,13,494
2016072410,15,15,321
2016072510,21,19,732
2016072610,19,18,807
2016072710,21,18,869
2016072810,16,15,287
2016072910,15,15,297
2016073010,18,17,863
2016073110,23,21,788
2016080110,18,18,623
2016080210,24,22,606
2016080310,23,19,1059
2016080410,22,21,1169
2016080510,28,27,803
2016080610,9,9,335
2016080710,9,9,560
2016080810,21,18,701
2016080910,23,21,631
2016081010,11,11,325
2016081110,24,23,385
2016081210,16,16,401
2016081310,15,15,455
2016081410,12,11,329
2016081510,22,19,1415
2016081610,24,22,751
