Date,Users,Sessions,Total Events
2016010106,22,19,781
2016010206,18,17,878
2016010306,18,19,667
2016010406,44,43,1445
2016010506,78,77,2991
2016010606,74,68,2705
2016010706,62,57,3208
2016010806,27,26,666
2016010906,38,38,1672
2016011006,18,15,451
2016011106,21,21,776
2016011206,22,21,863
2016011306,55,54,2085
2016011406,58,58,1493
2016011506,86,84,3318
2016011606,51,46,1645
2016011706,37,34,1176
2016011806,65,61,2666
2016011906,50,49,2444
2016012006,44,39,2164
2016012106,34,35,1175
2016012206,43,39,1503
2016012306,51,50,1884
2016012406,30,30,1180
2016012506,27,26,902
2016012606,19,17,926
2016012706,17,16,800
2016012806,16,15,578
2016012906,21,18,810
2016013006,57,50,2246
2016013106,60,58,3184
2016020106,69,69,2918
2016020206,51,51,1991
2016020306,16,16,641
2016020406,29,28,1961
2016020506,22,21,838
2016020606,10,9,550
2016020706,7,7,175
2016020806,10,10,194
2016020906,7,7,357
2016021006,18,17,278
2016021106,11,10,393
2016021206,9,9,117
2016021306,12,12,206
2016021406,6,6,136
2016021506,11,9,593
2016021606,10,7,175
2016021706,13,12,352
2016021806,65,61,2953
2016021906,34,32,921
2016022006,23,22,577
2016022106,9,9,162
2016022206,11,10,185
2016022306,11,9,201
2016022406,15,13,150
2016022506,13,12,371
2016022606,13,13,304
2016022706,7,7,300
2016022806,9,7,216
2016022906,9,7,216
2016030106,12,11,419
2016030206,10,10,181
2016030306,12,10,419
2016030406,9,9,194
2016030506,24,24,611
2016030606,54,54,2751
2016030706,108,102,5795
2016030806,22,22,616
2016030906,32,30,1034
2016031006,27,26,794
2016031106,32,29,1159
2016031206,32,30,1358
2016031306,37,34,1443
2016031406,57,56,2238
2016031506,21,19,764
2016031606,11,10,385
2016031706,18,17,396
2016031806,10,9,502
2016031906,6,6,234
2016032006,6,6,205
2016032106,22,19,1058
2016032206,40,40,2236
2016032306,18,16,736
2016032406,23,21,714
2016032506,16,16,429
2016032606,7,6,314
2016032706,7,7,140
2016032806,38,37,1480
2016032906,40,40,1515
2016033006,24,24,1151
2016033106,13,12,347
2016040106,16,15,454
2016040206,4,4,286
2016040306,7,7,139
2016040406,16,16,216
2016040506,12,11,358
2016040606,9,9,118
2016040706,7,7,127
2016040806,11,10,591
2016040906,6,5,128
2016041006,9,7,133
2016041106,11,10,393
2016041206,9,9,77
2016041306,10,9,483
2016041406,27,26,1605
2016041506,12,11,530
2016041606,7,7,354
2016041706,12,12,941
2016041806,9,9,107
2016041906,11,11,166
2016042006,7,6,432
2016042106,6,6,141
2016042206,17,17,704
2016042306,13,13,308
2016042406,11,10,262
2016042506,17,17,430
2016042606,19,21,751
2016042706,21,19,477
2016042806,18,17,625
2016042906,10,10,239
2016043006,7,7,358
2016050106,6,6,440
2016050206,11,10,399
2016050306,9,9,85
2016050406,6,5,265
2016050506,7,6,237
2016050606,11,7,530
2016050706,7,7,419
2016050806,11,11,475
2016050906,6,6,60
2016051006,7,7,97
2016051106,10,10,57
2016051206,5,5,116
2016051306,5,5,41
2016051406,1,1,44
2016051506,10,10,446
2016051606,6,6,369
2016051706,5,5,19
2016051806,7,6,325
2016051906,6,6,69
2016052006,24,23,1461
2016052106,27,27,1094
