Date,Users,Sessions,Total Events
2016010111,80,74,3233
2016010211,82,77,6114
2016010311,114,106,7525
2016010411,173,161,13143
2016010511,398,367,28060
2016010611,362,328,23745
2016010711,203,186,11566
2016010811,105,97,7969
2016010911,136,125,7946
2016011011,60,56,1763
2016011111,84,77,4160
2016011211,79,67,4006
2016011311,218,207,14811
2016011411,185,179,10922
2016011511,211,181,12689
2016011611,146,132,8355
2016011711,163,149,7909
2016011811,160,142,9183
2016011911,370,337,23732
2016012011,111,97,6955
2016012111,80,79,4019
2016012211,147,141,8093
2016012311,142,125,9005
2016012411,105,97,6782
2016012511,77,69,3423
2016012611,49,46,2285
2016012711,41,37,1320
2016012811,55,51,3401
2016012911,164,157,8327
2016013011,145,132,6745
2016013111,229,206,16964
2016020111,166,147,9959
2016020211,175,168,9231
2016020311,85,83,3873
2016020411,65,60,3295
2016020511,47,45,1638
2016020611,35,34,1538
2016020711,34,32,1361
2016020811,51,46,1841
2016020911,46,45,1287
2016021011,30,28,1259
2016021111,27,26,1090
2016021211,30,33,1634
2016021311,21,19,694
2016021411,35,35,1846
2016021511,39,35,2093
2016021611,28,26,1016
2016021711,112,105,5827
2016021811,265,257,15729
2016021911,122,113,7318
2016022011,34,33,1506
2016022111,34,30,1684
2016022211,24,23,1425
2016022311,13,13,275
2016022411,16,15,633
2016022511,27,24,1536
2016022611,34,32,1380
2016022711,21,19,992
2016022811,32,29,1353
2016022911,21,19,525
2016030111,30,29,1077
2016030211,22,21,824
2016030311,43,44,1386
2016030411,47,47,1729
2016030511,90,84,3310
2016030611,133,117,7480
2016030711,235,220,13649
2016030811,62,61,3181
2016030911,68,68,3525
2016031011,116,111,6701
2016031111,124,116,7245
2016031211,112,104,6128
2016031311,228,207,12911
2016031411,113,102,6628
2016031511,60,54,3778
2016031611,32,29,723
2016031711,33,27,1223
2016031811,39,38,2226
2016031911,24,23,1001
2016032011,44,44,2183
2016032111,79,72,3947
2016032211,110,97,6526
2016032311,46,44,2292
2016032411,38,37,1467
2016032511,30,28,1488
2016032611,30,27,1537
2016032711,29,32,1156
2016032811,248,225,11324
2016032911,85,80,5737
2016033011,52,50,2660
2016033111,33,30,1735
2016040111,28,28,1195
2016040211,19,19,837
2016040311,16,16,1085
2016040411,24,22,1595
2016040511,18,16,1361
2016040611,21,18,878
2016040711,24,23,1070
2016040811,43,39,2470
2016040911,34,30,1627
2016041011,32,29,1682
2016041111,22,21,1802
2016041211,23,19,2050
2016041311,23,22,1108
2016041411,50,46,2220
2016041511,40,38,1545
2016041611,24,17,1816
2016041711,23,19,1709
2016041811,12,11,633
2016041911,15,15,848
2016042011,27,24,1170
2016042111,19,18,482
2016042211,114,112,5482
2016042311,45,41,2099
2016042411,30,30,1103
2016042511,90,79,3943
2016042611,44,40,1965
2016042711,45,40,1562
2016042811,44,37,1665
2016042911,34,32,1353
2016043011,30,30,1430
2016050111,11,13,252
2016050211,18,17,1007
2016050311,28,27,1741
2016050411,22,22,721
2016050511,57,51,2532
2016050611,44,41,1737
2016050711,43,43,1973
2016050811,22,21,734
2016050911,34,33,1276
2016051011,26,24,916
2016051111,23,22,557
2016051211,18,16,1685
2016051311,15,12,966
2016051411,12,12,164
2016051511,15,15,546
2016051611,13,12,354
2016051711,23,21,531
2016051811,23,21,1046
2016051911,19,19,571
2016052011,61,57,2935
2016052111,57,52,2566
2016052211,16,15,944
2016052311,21,22,1000
2016052411,29,27,714
2016052511,40,40,1342
2016052611,33,30,1527
2016052711,17,17,395
2016052811,18,19,627
2016052911,11,10,320
2016053011,12,10,437
2016053111,21,22,709
2016060111,19,17,369
2016060211,15,15,659
2016060311,11,10,342
2016060411,13,12,574
2016060511,10,10,231
2016060611,16,15,851
2016060711,19,19,928
2016060811,16,16,547
2016060911,16,15,871
2016061011,18,17,401
2016061111,15,15,497
2016061211,12,12,486
2016061311,22,15,470
2016061411,33,33,1480
2016061511,27,24,1245
2016061611,32,32,1286
2016061711,17,16,1077
2016061811,15,16,650
2016061911,12,11,423
2016062011,18,15,790
2016062111,24,24,1696
2016062211,16,16,704
2016062311,10,9,124
2016062411,10,7,175
2016062511,11,11,192
2016062611,11,10,436
2016062711,27,26,941
2016062811,10,10,303
2016062911,17,17,1085
2016063011,13,13,488
2016070111,26,23,848
2016070211,19,17,600
2016070311,10,10,356
2016070411,12,11,429
2016070511,19,17,518
2016070611,21,17,661
2016070711,24,23,832
2016070811,16,16,894
2016070911,21,21,1515
2016071011,15,15,470
2016071111,22,21,1118
2016071211,18,19,773
2016071311,16,16,755
2016071411,17,15,706
2016071511,18,17,745
2016071611,17,16,356
2016071711,9,9,262
2016071811,16,15,876
2016071911,18,16,610
2016072011,16,16,409
2016072111,19,18,1046
2016072211,17,17,740
2016072311,10,10,195
2016072411,16,15,426
2016072511,9,9,302
2016072611,12,9,975
2016072711,22,19,851
2016072811,16,16,626
2016072911,22,21,524
2016073011,22,21,1070
2016073111,10,10,263
2016080111,17,17,494
2016080211,15,15,401
2016080311,22,22,995
2016080411,24,23,718
2016080511,12,12,416
2016080611,16,16,367
2016080711,12,11,443
2016080811,19,17,620
2016080911,26,24,846
2016081011,22,22,890
2016081111,18,19,548
2016081211,23,22,637
2016081311,16,17,465
2016081411,10,10,264
2016081511,24,23,620
2016081611,18,17,486
2016081711,32,30,1078
2016081811,34,30,971
2016081911,24,22,801
2016082011,12,12,927
2016082111,12,12,639
2016082211,32,30,975
2016082311,37,33,728
