Date,Users,Sessions,Total Events
2016010102,9,7,289
2016010202,11,11,214
2016010302,9,9,933
2016010402,2,2,63
2016010502,9,9,263
2016010602,10,10,251
2016010702,12,12,588
2016010802,4,2,63
2016010902,9,7,314
2016011002,5,5,681
2016011102,1,1,5
2016011202,5,5,419
2016011302,5,5,230
2016011402,7,7,217
2016011502,21,19,1105
2016011602,5,2,274
2016011702,7,7,184
2016011802,15,12,1332
2016011902,5,5,128
2016012002,6,4,236
2016012102,1,1,304
2016012202,5,5,61
2016012302,13,13,593
2016012402,4,4,202
2016012502,7,7,246
2016012602,10,10,576
2016012702,6,6,57
2016012802,9,7,133
2016012902,6,6,110
2016013002,16,13,727
2016013102,12,12,292
2016020102,9,9,437
2016020202,2,2,331
2016020302,4,4,39
2016020402,4,4,129
2016020502,1,1,47
2016020602,1,1,124
2016020702,2,1,55
2016020802,1,1,203
2016021002,4,4,10
2016021102,1,1,4
2016021202,1,1,4
2016021502,2,2,5
2016021602,4,4,94
2016021702,5,4,39
2016021802,12,11,1196
2016021902,7,6,315
2016022002,7,7,183
2016022302,2,1,85
2016022402,2,2,84
2016022502,2,2,47
2016022702,1,1,45
2016022802,1,1,1
2016030102,1,1,7
2016030202,1,1,2
2016030302,1,1,4
2016030502,7,5,487
2016030602,16,17,821
2016030702,18,18,960
2016030802,7,7,289
2016030902,2,2,160
2016031002,4,4,219
2016031102,4,4,89
2016031202,4,4,189
2016031402,11,10,520
2016031502,2,2,55
2016031602,4,4,227
2016031702,4,5,12
2016031802,2,2,62
2016031902,1,1,7
2016032002,2,2,27
2016032102,4,2,112
2016032202,9,7,276
2016032302,2,1,51
2016032402,2,0,66
2016032602,1,1,71
2016032702,4,4,10
2016032802,7,7,157
2016032902,4,4,134
2016033002,6,6,151
2016033102,4,2,307
2016040102,2,1,34
2016040202,1,1,80
2016040302,1,1,198
2016040402,1,0,4
2016040602,2,2,105
2016040802,1,1,4
2016040902,1,1,7
2016041002,4,4,214
2016041102,2,2,395
2016041202,2,2,7
2016041302,4,4,251
2016041402,2,2,66
2016041602,4,2,290
2016041902,2,2,24
2016042102,1,1,4
2016042202,5,5,83
2016042302,5,4,69
2016042402,1,1,4
2016042502,1,1,26
2016042602,4,4,62
2016042702,4,4,132
2016042802,2,1,178
2016042902,1,0,9
2016043002,4,4,62
2016050102,1,1,37
2016050402,1,1,4
2016050502,1,1,10
2016050602,1,1,23
2016050702,4,2,101
2016050902,4,4,672
2016051002,2,2,56
2016051102,2,2,15
2016051302,2,2,88
2016051402,2,2,6
2016051502,2,2,6
2016051702,2,2,32
2016051802,1,1,90
2016052102,9,9,245
2016052202,1,1,49
2016052302,1,1,5
2016052402,2,2,110
2016052502,1,1,19
2016052602,2,2,63
2016052802,1,0,138
2016053002,1,1,2
2016053102,1,1,1
2016060102,1,1,7
