Date,Users,Sessions,Total Events
2016010115,50,50,2338
2016010215,61,51,2708
2016010315,90,76,5743
2016010415,192,185,8573
2016010515,317,296,18654
2016010615,295,273,22003
2016010715,142,133,7614
2016010815,91,84,4274
2016010915,57,44,3176
2016011015,44,40,2484
2016011115,58,56,2075
2016011215,77,72,5199
2016011315,207,198,14002
2016011415,263,246,18988
2016011515,118,110,5213
2016011615,89,82,4921
2016011715,102,93,4898
2016011815,106,97,6051
2016011915,157,147,11163
2016012015,68,66,2377
2016012115,52,55,2623
2016012215,164,158,8035
2016012315,124,111,7057
2016012415,43,37,1433
2016012515,63,60,3135
2016012615,43,41,1796
2016012715,33,30,2569
2016012815,76,72,3943
2016012915,116,110,6921
2016013015,78,69,5599
2016013115,224,207,16316
2016020115,94,85,6291
2016020215,122,111,7471
2016020315,93,90,5127
2016020415,56,55,3237
2016020515,62,57,2932
2016020615,17,17,513
2016020715,27,26,1335
2016020815,47,46,1853
2016020915,33,28,1631
2016021015,32,29,1414
2016021115,39,37,1734
2016021215,35,35,1312
2016021315,18,17,552
2016021415,10,10,1029
2016021515,35,34,1579
2016021615,26,21,1191
2016021715,86,82,5462
2016021815,150,141,9070
2016021915,82,80,3549
2016022015,18,17,1018
2016022115,30,28,1670
2016022215,32,28,1452
2016022315,40,38,1266
2016022415,32,28,1819
2016022515,35,32,1494
2016022615,26,24,1305
2016022715,7,7,1002
2016022815,16,15,936
2016022915,30,30,1327
2016030115,26,24,1221
2016030215,26,22,1025
2016030315,29,28,1325
2016030415,62,57,3707
2016030515,78,78,4323
2016030615,110,107,6085
2016030715,146,134,7755
2016030815,71,66,2907
2016030915,63,56,3612
2016031015,93,86,5029
2016031115,156,150,10921
2016031215,110,104,7484
2016031315,186,177,12548
2016031415,93,89,5158
2016031515,58,55,3053
2016031615,54,52,3205
2016031715,43,41,1327
2016031815,27,27,2149
2016031915,26,24,1324
2016032015,40,35,1973
2016032115,113,102,6097
2016032215,65,57,3335
2016032315,56,49,3893
2016032415,44,43,2041
2016032515,34,32,2580
2016032615,18,17,660
2016032715,30,29,1361
2016032815,224,208,13112
2016032915,52,49,2528
2016033015,57,54,2705
2016033115,22,21,723
2016040115,32,32,1503
2016040215,13,15,877
2016040315,19,18,921
2016040415,17,17,984
2016040515,22,22,977
2016040615,21,21,1154
2016040715,24,23,1024
2016040815,38,38,1405
2016040915,32,30,1633
2016041015,28,28,2059
2016041115,17,17,676
2016041215,28,28,1441
2016041315,23,23,812
2016041415,51,50,2509
2016041515,45,46,3053
2016041615,15,12,673
2016041715,16,13,1604
2016041815,22,22,739
2016041915,17,16,630
2016042015,21,21,711
2016042115,23,21,712
2016042215,200,186,10529
2016042315,26,26,1223
2016042415,34,29,1579
2016042515,58,57,3041
2016042615,46,44,1912
2016042715,68,66,2689
2016042815,35,35,726
2016042915,40,38,1916
2016043015,19,19,1151
2016050115,16,16,1034
2016050215,40,37,1109
2016050315,17,16,505
2016050415,26,24,1243
2016050515,67,63,3395
2016050615,40,38,1343
2016050715,23,23,1553
2016050815,17,15,849
2016050915,26,26,820
2016051015,27,23,1066
2016051115,21,21,572
2016051215,15,15,447
2016051315,22,22,583
2016051415,4,4,68
2016051515,12,7,418
2016051615,21,19,570
2016051715,18,18,700
2016051815,18,17,732
2016051915,27,24,1940
2016052015,95,89,5436
2016052115,46,45,1841
2016052215,18,17,748
2016052315,32,28,899
2016052415,32,28,1105
2016052515,47,45,1079
2016052615,39,33,1100
2016052715,21,19,598
2016052815,9,7,123
2016052915,6,6,539
2016053015,19,15,1230
2016053115,23,21,734
2016060115,18,18,593
2016060215,24,26,493
2016060315,28,28,1385
2016060415,18,15,821
2016060515,13,13,648
2016060615,22,22,452
2016060715,27,26,620
2016060815,24,23,874
2016060915,28,26,1057
2016061015,34,30,1276
2016061115,12,10,1080
2016061215,19,19,1778
2016061315,21,19,587
2016061415,18,18,841
2016061515,39,34,1579
2016061615,26,23,754
2016061715,23,21,844
2016061815,11,11,175
2016061915,16,15,665
2016062015,24,26,789
2016062115,32,28,768
2016062215,15,13,376
2016062315,32,28,1878
2016062415,30,29,1536
2016062515,10,10,297
2016062615,16,16,354
2016062715,19,18,800
2016062815,15,15,274
2016062915,21,19,1521
2016063015,35,32,1526
2016070115,29,28,1728
2016070215,13,12,1290
2016070315,22,18,897
2016070415,30,23,1042
2016070515,27,24,871
2016070615,33,32,1292
2016070715,19,18,907
2016070815,22,21,837
2016070915,11,10,420
2016071015,15,15,533
2016071115,22,22,1022
2016071215,21,23,413
2016071315,26,23,879
2016071415,19,18,961
2016071515,23,22,1449
2016071615,16,16,502
2016071715,10,7,739
2016071815,24,23,961
2016071915,22,23,820
2016072015,12,11,315
2016072115,22,18,1153
2016072215,32,29,1663
2016072315,11,11,480
2016072415,16,11,670
2016072515,26,24,985
2016072615,24,24,1243
2016072715,24,23,1202
2016072815,24,23,1039
2016072915,34,33,1137
2016073015,18,16,949
2016073115,16,16,927
2016080115,16,16,585
2016080215,19,18,789
2016080315,34,32,1314
2016080415,17,16,768
2016080515,21,21,950
2016080615,7,6,174
2016080715,19,16,877
2016080815,21,19,410
2016080915,22,18,643
2016081015,28,24,1257
2016081115,24,24,992
2016081215,19,18,628
2016081315,13,13,229
2016081415,12,11,309
2016081515,16,15,727
2016081615,41,39,2794
2016081715,38,35,2109
2016081815,27,26,974
2016081915,32,24,1683
2016082015,9,9,118
2016082115,18,18,561
2016082215,37,34,1642
2016082315,33,30,711
2016082415,26,23,754
2016082515,17,18,729
2016082615,38,38,2101
2016082715,15,15,906
2016082815,16,15,1159
2016082915,19,17,699
2016083015,24,24,477
2016083115,21,18,1052
2016090115,19,21,1072
2016090215,34,32,1340
2016090315,22,18,1337
2016090415,22,22,1417
2016090515,62,60,3438
2016090615,19,19,1035
2016090715,18,18,475
2016090815,13,10,396
2016090915,16,15,715
2016091015,5,5,178
2016091115,12,11,311
2016091215,26,26,1307
2016091315,35,35,1672
2016091415,11,11,145
2016091515,15,15,474
2016091615,13,13,315
2016091715,13,12,356
2016091815,13,13,511
2016091915,18,15,369
2016092015,17,16,1344
2016092115,19,18,443
2016092215,43,38,2481
2016092315,30,29,1079
2016092415,10,7,585
2016092515,12,11,533
2016092615,17,15,700
2016092715,12,11,490
2016092815,15,16,656
2016092915,9,9,455
