Date,Users,Sessions,Total Events
2016010120,34,33,978
2016010220,43,41,1660
2016010320,40,34,1646
2016010420,65,63,2692
2016010520,108,104,4069
2016010620,73,68,3019
2016010720,58,57,3628
2016010820,26,24,1248
2016010920,38,30,854
2016011020,26,22,740
2016011120,22,22,690
2016011220,29,29,1107
2016011320,63,56,3517
2016011420,99,91,5844
2016011520,41,40,1927
2016011620,41,41,1509
2016011720,58,57,2937
2016011820,41,40,1379
2016011920,40,40,1029
2016012020,32,32,621
2016012120,30,28,711
2016012220,66,63,3446
2016012320,41,40,1757
2016012420,33,33,1471
2016012520,17,16,524
2016012620,29,28,817
2016012720,16,16,353
2016012820,27,26,1623
2016012920,62,56,2394
2016013020,33,34,1249
2016013120,152,138,7708
2016020120,40,39,1360
2016020220,27,26,947
2016020320,41,38,1122
2016020420,16,15,356
2016020520,18,17,750
2016020620,11,11,208
2016020720,16,15,396
2016020820,9,9,146
2016020920,12,12,831
2016021020,13,13,413
2016021120,10,10,205
2016021220,13,13,183
2016021320,10,9,313
2016021420,12,13,381
2016021520,13,13,325
2016021620,11,10,326
2016021720,26,24,1260
2016021820,26,22,715
2016021920,24,22,736
2016022020,23,24,324
2016022120,7,7,132
2016022220,18,19,317
2016022320,15,13,230
2016022420,15,15,401
2016022520,10,9,86
2016022620,6,5,192
2016022720,5,5,105
2016022820,9,9,274
2016022920,13,13,318
2016030120,10,10,463
2016030220,9,9,251
2016030320,13,12,307
2016030420,17,17,1126
2016030520,76,69,4065
2016030620,89,82,5068
2016030720,54,54,2221
2016030820,32,27,1066
2016030920,24,23,839
2016031020,33,34,844
2016031120,57,55,2618
2016031220,83,77,4250
2016031320,123,111,6538
2016031420,41,39,1816
2016031520,23,22,1085
2016031620,22,21,878
2016031720,16,15,821
2016031820,12,12,574
2016031920,5,5,79
2016032020,32,29,2085
2016032120,69,65,3163
2016032220,28,26,919
2016032320,24,22,577
2016032420,15,15,628
2016032520,15,11,458
2016032620,15,12,742
2016032720,23,26,697
2016032820,61,57,2708
2016032920,38,33,2409
2016033020,11,11,782
2016033120,7,7,251
2016040120,5,5,267
2016040220,10,9,88
2016040320,18,18,872
2016040420,7,7,281
2016040520,9,7,337
2016040620,10,10,546
2016040720,5,5,124
2016040820,12,10,1324
2016040920,29,28,1078
2016041020,12,13,464
2016041120,5,5,105
2016041220,21,19,906
2016041320,11,11,246
2016041420,13,13,690
2016041520,15,13,479
2016041620,13,13,893
2016041720,11,9,444
2016041820,11,11,269
2016041920,5,5,127
2016042020,17,16,309
2016042120,11,11,486
2016042220,73,71,4578
2016042320,21,18,1190
2016042420,26,24,1382
2016042520,18,18,935
2016042620,21,19,1102
2016042720,47,44,2148
2016042820,16,15,638
2016042920,23,22,973
2016043020,12,12,386
2016050120,18,17,869
2016050220,2,2,10
2016050320,11,11,289
2016050420,15,12,477
2016050520,27,24,923
2016050620,27,27,1413
2016050720,12,12,522
2016050820,9,9,189
2016050920,7,6,285
2016051020,12,12,317
2016051120,4,4,145
2016051220,10,7,479
2016051320,11,11,250
2016051420,10,10,186
2016051520,11,10,265
2016051620,6,6,268
2016051720,5,5,21
2016051820,9,9,241
2016051920,11,11,244
2016052020,119,116,6004
2016052120,13,13,688
2016052220,17,16,777
2016052320,16,13,1003
2016052420,11,10,390
2016052520,23,22,444
2016052620,15,15,283
2016052720,18,19,1083
2016052820,6,6,239
2016052920,7,7,123
2016053020,11,11,195
2016053120,12,12,287
2016060120,12,12,239
2016060220,7,7,303
2016060320,7,7,765
2016060420,7,7,169
2016060520,5,6,163
2016060620,9,9,93
2016060720,4,2,35
2016060820,2,2,5
2016060920,11,10,539
2016061020,6,6,284
2016061120,9,7,214
2016061220,6,6,150
2016061320,10,10,418
2016061420,15,12,958
2016061520,27,26,753
2016061620,10,7,198
2016061720,10,7,269
2016061820,12,12,625
2016061920,7,7,413
2016062020,10,7,398
2016062120,6,5,140
2016062220,9,6,434
2016062320,10,11,407
2016062420,6,6,315
2016062520,9,9,303
2016062620,10,10,543
2016062720,11,11,356
2016062820,15,17,497
2016062920,13,12,554
2016063020,12,9,519
2016070120,16,15,365
2016070220,7,9,390
2016070320,17,15,479
2016070420,7,6,329
2016070520,28,26,382
2016070620,7,7,340
2016070720,7,7,292
2016070820,13,12,654
2016070920,10,10,565
2016071020,2,2,21
2016071120,9,9,390
2016071220,6,6,90
2016071320,4,4,83
2016071420,1,1,2
2016071520,13,13,487
2016071620,9,9,156
2016071720,13,13,373
2016071820,12,11,203
2016071920,9,7,108
2016072020,4,4,117
2016072120,7,7,270
2016072220,7,7,167
2016072320,5,5,83
2016072420,9,7,328
2016072520,9,9,410
2016072620,11,11,185
2016072720,4,2,18
2016072820,10,9,325
2016072920,17,13,694
2016073020,6,6,141
2016073120,5,5,141
2016080120,9,9,128
2016080220,15,15,269
2016080320,5,5,213
2016080420,5,5,62
2016080520,9,7,490
2016080620,7,9,113
2016080720,5,5,135
2016080820,4,4,84
2016080920,5,4,179
2016081020,9,9,190
2016081120,5,5,104
2016081220,10,10,342
2016081320,4,4,44
2016081420,13,13,867
2016081520,6,7,403
2016081620,12,11,390
2016081720,10,10,572
2016081820,10,10,990
2016081920,10,10,748
2016082020,9,7,216
2016082120,12,10,427
2016082220,12,11,1336
2016082320,28,27,745
2016082420,9,9,105
2016082520,6,6,244
2016082620,16,16,380
2016082720,12,11,532
2016082820,10,10,471
2016082920,7,7,139
2016083020,5,5,58
2016083120,5,5,175
2016090120,12,12,258
2016090220,12,12,342
2016090320,12,9,785
2016090420,10,7,570
2016090520,18,16,594
2016090620,9,9,354
2016090720,4,4,127
2016090820,5,5,127
2016090920,9,9,319
2016091020,10,10,258
2016091120,5,6,432
2016091220,4,2,35
2016091320,11,11,140
2016091420,10,9,223
2016091520,5,5,90
2016091620,9,7,402
2016091720,7,7,314
2016091820,5,5,105
2016091920,13,13,251
2016092020,5,5,312
2016092120,10,9,133
2016092220,17,16,258
2016092320,7,6,190
2016092420,16,15,889
2016092520,5,4,105
2016092620,5,5,29
2016092720,5,4,169
2016092820,6,6,151
2016092920,12,10,255
2016093020,1,1,51
2016100120,7,6,138
2016100220,41,34,1991
2016100320,18,16,503
2016100420,9,7,248
2016100520,7,6,200
2016100620,1,1,12
2016100720,5,5,172
2016100820,4,4,26
2016100920,4,4,35
2016101020,9,9,183
2016101120,4,4,47
2016101220,2,1,28
2016101320,21,19,1305
2016101420,21,19,661
2016101520,27,27,1063
2016101620,38,34,1484
2016101720,22,21,778
2016101820,11,11,709
2016101920,11,11,76
2016102020,6,6,363
2016102120,11,11,320
2016102220,9,9,58
2016102320,7,7,73
2016102420,13,13,331
2016102520,4,4,244
2016102620,47,45,1036
2016102720,18,17,378
2016102820,9,9,170
2016102920,12,11,468
2016103020,95,89,4592
2016103120,28,24,1280
2016110120,7,7,68
2016110220,13,15,413
2016110320,13,13,391
2016110420,13,13,514
2016110520,7,7,264
2016110620,5,5,297
2016110720,7,6,275
2016110820,2,2,58
2016110920,11,11,595
2016111020,5,5,65
2016111120,5,5,130
2016111220,17,16,559
2016111320,11,11,195
2016111420,6,6,223
2016111520,12,11,421
2016111620,15,13,469
2016111720,12,11,434
2016111820,11,11,342
2016111920,71,65,3236
2016112020,45,44,1321
2016112120,22,21,703
2016112220,55,54,2612
2016112320,47,46,1280
2016112420,21,21,1139
2016112520,27,26,667
2016112620,123,114,7287
2016112720,52,50,2069
