Date,Users,Sessions,Total Events
2016010117,41,35,2836
2016010217,54,52,3646
2016010317,94,88,6095
2016010417,166,144,10704
2016010517,286,259,17301
2016010617,274,253,18427
2016010717,118,100,6772
2016010817,80,73,4052
2016010917,86,77,4542
2016011017,49,49,2012
2016011117,56,49,2892
2016011217,63,58,3401
2016011317,198,186,11983
2016011417,320,284,24267
2016011517,104,95,5046
2016011617,100,97,5250
2016011717,128,121,7902
2016011817,114,101,5676
2016011917,142,134,7869
2016012017,68,67,4021
2016012117,69,71,4405
2016012217,160,152,9959
2016012317,97,88,4832
2016012417,67,67,3479
2016012517,45,40,2893
2016012617,47,41,2378
2016012717,43,43,1839
2016012817,76,69,3097
2016012917,166,145,10356
2016013017,97,94,5604
2016013117,328,297,21267
2016020117,90,83,5363
2016020217,80,72,2912
2016020317,94,93,5709
2016020417,35,30,1693
2016020517,37,35,1853
2016020617,26,24,1427
2016020717,17,16,452
2016020817,38,38,1959
2016020917,21,21,1124
2016021017,33,32,1351
2016021117,32,32,1598
2016021217,30,29,1698
2016021317,27,24,1266
2016021417,32,33,1323
2016021517,27,23,1730
2016021617,39,37,1353
2016021717,106,99,6643
2016021817,117,108,7184
2016021917,99,93,5204
2016022017,24,22,1134
2016022117,34,32,1575
2016022217,34,32,1409
2016022317,34,34,1068
2016022417,33,33,1337
2016022517,27,27,1502
2016022617,23,21,1019
2016022717,15,11,1056
2016022817,15,15,625
2016022917,18,19,936
2016030117,37,37,1846
2016030217,24,22,1252
2016030317,32,29,1247
2016030417,105,99,7734
2016030517,96,88,5029
2016030617,134,130,7621
2016030717,142,132,8484
2016030817,69,62,3125
2016030917,60,56,3001
2016031017,99,94,4800
2016031117,158,150,10623
2016031217,158,149,10346
2016031317,217,205,15187
2016031417,58,54,4028
2016031517,47,44,2457
2016031617,40,38,2479
2016031717,24,24,1108
2016031817,33,33,1570
2016031917,19,18,1061
2016032017,52,44,2949
2016032117,136,125,9300
2016032217,50,50,2949
2016032317,32,32,1786
2016032417,35,33,1517
2016032517,33,29,1969
2016032617,16,13,605
2016032717,33,32,1179
2016032817,189,177,9630
2016032917,62,57,2654
2016033017,30,27,1699
2016033117,29,28,1612
2016040117,15,15,701
2016040217,15,12,834
2016040317,11,11,353
2016040417,24,24,1593
2016040517,23,22,866
2016040617,21,19,804
2016040717,30,28,1539
2016040817,29,28,2193
2016040917,22,22,1264
2016041017,12,12,700
2016041117,35,34,1016
2016041217,16,16,666
2016041317,22,21,817
2016041417,39,38,2076
2016041517,28,24,1604
2016041617,19,19,673
2016041717,18,17,687
2016041817,18,17,496
2016041917,16,15,298
2016042017,18,18,480
2016042117,17,16,652
2016042217,179,155,10285
2016042317,21,18,796
2016042417,44,40,2568
2016042517,57,54,2842
2016042617,41,37,1698
2016042717,93,88,5193
2016042817,23,22,951
2016042917,35,34,1635
2016043017,21,19,510
2016050117,16,15,468
2016050217,22,23,1290
2016050317,27,24,805
2016050417,27,27,1259
2016050517,65,58,3108
2016050617,38,37,1682
2016050717,28,24,2271
2016050817,12,12,267
2016050917,26,23,673
2016051017,18,18,1234
2016051117,11,11,589
2016051217,29,27,1702
2016051317,23,21,1129
2016051417,7,7,213
2016051517,15,15,1022
2016051617,24,22,890
2016051717,11,9,720
2016051817,23,23,1370
2016051917,24,22,985
2016052017,164,157,8395
2016052117,50,49,2230
2016052217,21,21,893
2016052317,30,30,2197
2016052417,39,38,1554
2016052517,49,43,1892
2016052617,22,21,793
2016052717,23,23,1683
2016052817,15,15,228
2016052917,11,7,988
2016053017,23,21,1368
2016053117,23,21,1077
2016060117,28,27,1897
2016060217,26,23,1168
2016060317,22,24,788
2016060417,17,16,1091
2016060517,21,19,1201
2016060617,19,19,781
2016060717,16,16,738
2016060817,18,18,594
2016060917,23,21,1046
2016061017,17,17,531
2016061117,15,15,637
2016061217,12,11,347
2016061317,15,13,1439
2016061417,21,19,1571
2016061517,28,22,1672
2016061617,27,24,1307
2016061717,26,24,1332
2016061817,16,17,356
2016061917,7,7,279
2016062017,17,13,1080
2016062117,21,22,430
2016062217,24,21,637
2016062317,24,21,608
2016062417,28,26,1346
2016062517,11,12,610
2016062617,16,15,1031
2016062717,28,28,869
2016062817,28,28,1044
2016062917,22,17,2281
2016063017,34,29,1985
2016070117,39,34,1657
2016070217,19,18,1100
2016070317,19,19,1173
2016070417,16,15,896
2016070517,30,28,813
2016070617,28,26,930
2016070717,21,17,673
2016070817,18,18,962
2016070917,7,7,317
2016071017,16,13,616
2016071117,22,23,891
2016071217,15,12,827
2016071317,18,17,717
2016071417,28,27,1047
2016071517,18,17,768
2016071617,5,5,217
2016071717,16,16,490
2016071817,24,21,1057
2016071917,18,16,602
2016072017,15,12,537
2016072117,17,18,693
2016072217,15,13,483
2016072317,16,15,827
2016072417,17,16,376
2016072517,23,23,745
2016072617,23,22,1347
2016072717,21,17,714
2016072817,37,37,1181
2016072917,23,18,1661
2016073017,12,12,788
2016073117,15,15,603
2016080117,27,26,1614
2016080217,22,22,1189
2016080317,23,21,974
2016080417,23,19,1269
2016080517,18,21,1062
2016080617,5,5,175
2016080717,11,10,388
2016080817,28,27,879
2016080917,22,21,841
2016081017,13,12,494
2016081117,21,22,833
2016081217,18,13,787
2016081317,5,5,167
2016081417,13,11,693
2016081517,21,17,738
2016081617,35,32,2102
2016081717,33,32,1325
2016081817,32,30,1754
2016081917,21,15,1952
2016082017,11,12,516
2016082117,17,17,821
2016082217,38,34,1232
2016082317,29,29,1502
2016082417,32,30,570
2016082517,30,29,1612
2016082617,16,15,771
2016082717,12,12,705
2016082817,10,7,441
2016082917,21,19,835
2016083017,34,34,1103
2016083117,28,26,756
2016090117,26,22,1096
2016090217,38,34,1579
2016090317,21,21,1174
2016090417,19,18,788
2016090517,51,47,2165
2016090617,18,16,1075
2016090717,17,15,945
2016090817,18,18,687
2016090917,24,17,946
2016091017,6,5,426
2016091117,15,16,901
2016091217,27,24,1677
2016091317,26,22,1107
2016091417,19,17,1113
2016091517,24,21,740
2016091617,19,19,1143
2016091717,9,9,352
2016091817,15,15,247
2016091917,26,24,632
2016092017,21,16,960
2016092117,24,23,1319
2016092217,38,38,1653
2016092317,15,11,729
2016092417,9,9,426
2016092517,13,12,492
2016092617,16,13,652
2016092717,19,17,1010
2016092817,23,22,1046
2016092917,19,18,1179
2016093017,22,19,1097
2016100117,15,15,522
2016100217,88,83,4893
2016100317,44,41,2602
2016100417,18,17,680
2016100517,15,15,779
2016100617,22,21,879
2016100717,18,16,522
2016100817,11,11,638
2016100917,10,10,533
2016101017,16,15,916
2016101117,19,17,816
2016101217,19,13,818
2016101317,33,33,1582
2016101417,84,77,3670
2016101517,76,69,4086
2016101617,86,83,6432
2016101717,47,44,3485
2016101817,23,23,1094
2016101917,22,19,1003
2016102017,24,21,1336
2016102117,17,17,744
2016102217,11,7,297
2016102317,23,22,1281
2016102417,34,30,2225
2016102517,7,6,553
2016102617,27,24,1338
2016102717,54,54,3183
2016102817,30,28,1090
2016102917,22,22,1156
2016103017,261,236,12147
2016103117,57,56,2964
2016110117,37,39,2563
2016110217,38,37,1531
2016110317,29,28,1297
2016110417,23,23,1174
2016110517,21,16,901
2016110617,10,7,258
2016110717,28,26,1130
2016110817,27,24,1062
2016110917,17,17,613
2016111017,24,26,1040
2016111117,17,17,823
2016111217,13,13,508
2016111317,13,13,313
2016111417,37,38,1769
2016111517,72,68,2836
2016111617,57,54,2640
2016111717,41,40,2889
2016111817,29,30,1758
2016111917,173,160,11323
2016112017,105,97,3899
2016112117,56,52,2820
2016112217,74,72,4002
2016112317,96,88,4567
2016112417,28,26,1128
2016112517,49,43,2281
2016112617,256,244,16810
2016112717,105,97,7237
2016112817,90,77,5496
2016112917,61,52,2807
2016113017,55,51,2493
2016120117,43,43,3589
2016120217,47,43,3312
2016120317,26,24,1077
2016120417,47,45,3589
2016120517,61,56,4724
2016120617,114,108,7190
2016120717,212,188,14401
2016120817,175,158,11057
2016120917,110,100,6699
2016121017,116,105,7234
2016121117,60,60,2836
2016121217,74,71,4162
2016121317,113,99,4382
2016121417,200,168,14393
2016121517,235,222,14488
2016121617,191,170,9378
2016121717,47,41,3841
2016121817,47,45,2208
2016121917,66,58,2655
2016122017,84,80,3837
2016122117,76,72,3012
2016122217,65,62,2901
2016122317,336,292,21194
2016122417,83,78,4361
2016122517,41,39,2118
2016122617,86,82,3411
2016122717,90,82,4161
2016122817,56,52,2475
2016122917,65,60,3616
2016123017,57,52,3840
2016123117,78,74,5258
2017010117,151,139,10146
2017010217,367,328,20382
2017010317,424,381,32791
2017010417,490,442,38519
2017010517,262,242,16911
2017010617,168,151,7266
2017010717,312,292,20667
2017010817,379,341,21528
2017010917,379,352,26444
2017011017,655,577,46704
2017011117,437,416,25499
2017011217,387,351,24302
2017011317,169,153,10207
2017011417,84,79,4708
2017011517,84,77,3899
2017011617,111,101,5861
2017011717,152,139,9156
2017011817,487,434,35526
2017011917,290,262,15708
2017012017,386,356,26477
2017012117,194,172,12558
2017012217,469,443,26574
2017012317,286,264,19567
2017012417,152,141,9175
2017012517,161,146,8969
2017012617,95,89,4457
2017012717,79,76,3390
2017012817,54,50,3031
2017012917,45,43,3244
2017013017,58,56,2705
2017013117,62,61,3827
2017020117,110,104,4917
2017020217,139,128,7695
2017020317,206,189,10615
2017020417,68,63,2984
2017020517,62,55,3384
2017020617,222,211,13276
2017020717,177,156,8507
2017020817,177,162,9550
2017020917,311,290,20455
2017021017,248,222,13689
2017021117,105,100,5341
2017021217,128,121,6460
2017021317,136,122,6096
2017021417,129,116,7335
2017021517,129,123,5721
2017021617,130,122,5987
2017021717,283,263,18354
2017021817,99,93,4485
2017021917,166,155,9050
2017022017,345,319,22597
2017022117,397,371,24383
2017022217,233,213,12733
2017022317,202,190,9490
2017022417,133,118,7521
2017022517,72,69,2794
2017022617,128,113,6720
2017022717,119,111,6762
2017022817,76,66,3138
2017030117,93,86,3441
2017030217,63,55,3146
2017030317,55,49,2306
2017030417,101,101,5289
2017030517,270,257,14914
2017030617,227,200,13265
2017030717,104,93,7203
2017030817,67,65,2655
2017030917,80,74,3451
2017031017,61,58,2135
2017031117,33,33,1458
2017031217,33,28,1797
2017031317,56,51,2112
2017031417,51,49,2372
2017031517,62,57,2591
2017031617,52,49,1716
2017031717,40,38,1389
2017031817,28,28,777
2017031917,39,39,1896
2017032017,69,67,3420
2017032117,136,122,6386
2017032217,82,73,2740
2017032317,73,67,2920
2017032417,152,140,6499
2017032517,30,28,700
2017032617,51,49,2076
2017032717,77,73,2137
2017032817,44,43,2230
2017032917,68,61,2635
2017033017,93,89,6175
2017033117,34,32,1119
2017040117,21,18,718
2017040217,19,18,688
2017040317,45,41,1763
2017040417,43,43,1475
2017040517,39,38,1414
2017040617,125,118,5447
2017040717,138,125,7338
2017040817,79,74,3457
2017040917,27,27,599
2017041017,45,40,2190
2017041117,57,52,1695
2017041217,77,71,3155
2017041317,161,145,7713
2017041417,66,62,2690
2017041517,23,23,703
