Date,Users,Sessions,Total Events
2016010108,54,49,2814
2016010208,73,69,2711
2016010308,77,68,5077
2016010408,127,122,8524
2016010508,286,276,17000
2016010608,300,279,18381
2016010708,242,231,14565
2016010808,135,135,9286
2016010908,136,128,8434
2016011008,71,68,3618
2016011108,93,89,4519
2016011208,76,73,3987
2016011308,216,206,13897
2016011408,160,149,8342
2016011508,272,258,18798
2016011608,147,147,8869
2016011708,108,107,6407
2016011808,239,228,12162
2016011908,231,229,13667
2016012008,135,122,8134
2016012108,73,72,3955
2016012208,124,114,5649
2016012308,174,168,11503
2016012408,80,78,4598
2016012508,99,90,6056
2016012608,61,58,2370
2016012708,55,54,2103
2016012808,62,61,2898
2016012908,125,119,7056
2016013008,197,188,12123
2016013108,217,208,15932
2016020108,273,257,16897
2016020208,201,186,14425
2016020308,138,132,6548
2016020408,105,91,5289
2016020508,58,56,2421
2016020608,37,35,951
2016020708,34,30,1169
2016020808,54,50,2420
2016020908,47,47,1733
2016021008,49,45,1746
2016021108,40,37,1885
2016021208,38,37,1791
2016021308,27,27,1187
2016021408,17,16,650
2016021508,41,40,2231
2016021608,39,37,1707
2016021708,76,74,3968
2016021808,328,309,22816
2016021908,127,119,6522
2016022008,46,43,1845
2016022108,37,33,2664
2016022208,52,49,3031
2016022308,39,35,1206
2016022408,38,35,1331
2016022508,33,30,1420
2016022608,30,29,576
2016022708,30,29,1340
2016022808,19,18,631
2016022908,46,44,1929
2016030108,46,44,1881
2016030208,40,37,1849
2016030308,54,47,1790
2016030408,60,57,3781
2016030508,91,88,4216
2016030608,231,216,13813
2016030708,350,329,23127
2016030808,91,90,4323
2016030908,125,119,7073
2016031008,96,91,4558
2016031108,121,113,6675
2016031208,139,134,8781
2016031308,142,134,9293
2016031408,156,145,9211
2016031508,89,88,4824
2016031608,51,47,1833
2016031708,51,50,2784
2016031808,50,46,3013
2016031908,26,26,894
2016032008,22,22,902
2016032108,93,83,4581
2016032208,132,121,10004
2016032308,95,91,4903
2016032408,55,51,3153
2016032508,49,43,2319
2016032608,24,21,1504
2016032708,27,27,1465
2016032808,291,279,18148
2016032908,151,144,8990
2016033008,78,78,3139
2016033108,47,44,2964
2016040108,37,34,2065
2016040208,21,19,1174
2016040308,26,26,1343
2016040408,46,47,1456
2016040508,21,18,823
2016040608,22,22,636
2016040708,26,23,992
2016040808,43,38,1914
2016040908,38,38,1906
2016041008,52,50,2774
2016041108,50,45,1411
2016041208,32,30,1148
2016041308,30,29,1090
2016041408,91,89,4990
2016041508,51,47,2400
2016041608,39,37,2472
2016041708,41,40,2376
2016041808,38,35,751
2016041908,37,37,1375
2016042008,32,30,1118
2016042108,35,35,1055
2016042208,71,61,3440
2016042308,106,104,5984
2016042408,24,24,816
2016042508,104,95,4607
2016042608,63,60,3635
2016042708,76,76,3518
2016042808,66,62,3580
2016042908,43,41,1601
2016043008,45,43,2632
2016050108,28,24,1370
2016050208,33,33,1349
2016050308,23,22,783
2016050408,37,34,1399
2016050508,67,67,2707
2016050608,78,72,4147
2016050708,47,47,2356
2016050808,33,30,1784
2016050908,33,32,1399
2016051008,29,29,997
2016051108,23,23,902
2016051208,21,19,492
2016051308,21,19,880
2016051408,19,19,784
2016051508,16,15,740
2016051608,28,27,1195
2016051708,15,13,782
2016051808,22,18,1096
2016051908,23,19,846
2016052008,57,51,2503
2016052108,85,83,4835
2016052208,28,24,1532
2016052308,49,46,2409
2016052408,28,26,1431
2016052508,32,30,1748
2016052608,30,28,944
2016052708,18,17,515
2016052808,10,9,444
2016052908,13,13,286
2016053008,15,13,409
2016053108,18,19,609
2016060108,26,23,1237
2016060208,17,18,678
2016060308,15,13,659
2016060408,12,12,1108
2016060508,12,12,560
2016060608,13,15,821
2016060708,24,24,721
2016060808,7,6,289
2016060908,13,11,565
2016061008,17,16,606
2016061108,6,5,161
2016061208,7,7,194
2016061308,21,21,972
2016061408,19,17,766
2016061508,27,26,766
2016061608,34,34,1427
2016061708,27,24,999
2016061808,16,16,827
2016061908,12,12,648
2016062008,19,18,884
2016062108,18,15,995
2016062208,30,28,1042
2016062308,16,16,392
2016062408,21,17,822
2016062508,9,9,157
2016062608,9,9,117
2016062708,19,17,1171
2016062808,18,16,877
2016062908,24,23,627
2016063008,21,21,519
2016070108,24,22,770
2016070208,16,15,822
2016070308,17,17,789
2016070408,13,11,818
2016070508,21,19,738
2016070608,18,17,627
2016070708,21,19,577
2016070808,18,13,915
2016070908,13,12,321
2016071008,15,13,541
2016071108,27,24,1403
2016071208,12,11,587
2016071308,19,18,588
2016071408,17,15,1223
2016071508,17,16,833
2016071608,7,7,189
2016071708,7,7,546
2016071808,13,13,483
2016071908,24,22,1053
2016072008,23,19,958
2016072108,16,15,683
2016072208,13,12,563
2016072308,12,12,494
2016072408,9,7,555
2016072508,24,26,1291
2016072608,26,27,1035
2016072708,24,26,894
2016072808,26,23,1353
2016072908,19,19,609
2016073008,9,9,220
2016073108,19,18,622
2016080108,21,16,835
2016080208,21,21,695
2016080308,19,17,666
2016080408,21,18,771
2016080508,24,23,699
2016080608,13,13,588
2016080708,9,9,427
2016080808,19,18,547
2016080908,18,15,893
2016081008,21,21,857
2016081108,28,28,1190
2016081208,19,19,890
2016081308,16,15,655
2016081408,13,12,255
2016081508,27,24,798
2016081608,17,13,823
2016081708,37,33,2447
2016081808,23,21,957
2016081908,27,24,1058
2016082008,18,17,576
2016082108,6,6,639
2016082208,21,21,798
2016082308,24,24,726
2016082408,38,38,921
2016082508,28,29,950
2016082608,21,22,669
2016082708,19,19,1259
2016082808,15,13,576
2016082908,24,26,1562
2016083008,24,22,1175
2016083108,22,21,470
2016090108,13,12,491
2016090208,21,22,891
2016090308,17,16,787
2016090408,24,24,1077
2016090508,26,23,1298
2016090608,26,23,1230
2016090708,23,22,1159
2016090808,22,22,1193
2016090908,22,19,913
2016091008,4,2,255
2016091108,7,6,251
2016091208,27,24,1313
2016091308,39,35,1984
2016091408,30,28,1173
2016091508,29,24,1895
2016091608,19,15,1389
2016091708,9,9,1045
2016091808,15,13,407
2016091908,18,16,645
2016092008,18,16,955
2016092108,32,32,1794
2016092208,30,26,2632
2016092308,27,24,1902
2016092408,18,18,939
2016092508,11,11,669
2016092608,18,16,862
2016092708,22,19,972
2016092808,18,15,560
2016092908,26,24,1471
2016093008,23,21,985
2016100108,10,9,718
2016100208,21,18,798
2016100308,56,50,2833
2016100408,39,33,2426
2016100508,35,34,1878
2016100608,29,26,1058
2016100708,22,18,907
2016100808,12,11,318
2016100908,7,7,264
2016101008,28,26,1620
2016101108,30,29,1387
2016101208,27,28,1094
2016101308,37,37,1892
2016101408,106,101,5868
2016101508,39,38,3015
2016101608,58,57,3517
2016101708,132,125,8611
2016101808,54,56,2724
2016101908,38,37,1670
2016102008,27,24,1332
2016102108,19,16,893
2016102208,18,18,926
2016102308,11,12,357
2016102408,50,45,2621
2016102508,12,12,1225
2016102608,46,41,2188
2016102708,47,43,2243
2016102808,72,71,3747
2016102908,29,29,1502
2016103008,55,51,2867
2016103108,108,107,6371
2016110108,106,100,6102
2016110208,41,41,1263
2016110308,38,37,1856
