Date,Users,Sessions,Total Events
20170401,375,469,18907
20170402,348,433,16260
20170403,503,671,25232
20170404,481,635,26906
20170405,488,639,22859
20170406,1187,1661,74668
20170407,1833,2763,140694
20170408,1225,1752,94209
20170409,597,744,32942
20170410,625,799,32082
20170411,690,914,37194
20170412,743,973,42088
20170413,1484,2194,121117
20170414,899,1225,55741
20170415,407,495,18515
20170416,576,750,32071
20170417,781,1066,45065
20170418,816,1109,44786
20170419,488,642,23720
20170420,590,747,31264
20170421,517,692,23872
20170422,335,411,15391
20170423,334,398,15347
20170424,762,1039,45406
20170425,572,795,36213
20170426,616,798,35824
20170427,509,664,28639
20170428,484,651,30949
20170429,323,412,22306
20170430,292,371,14490
