Date,Users,Sessions,Total Events
20160901,171,242,11279
20160902,254,343,13739
20160903,194,232,10133
20160904,236,284,12666
20160905,440,588,28782
20160906,232,309,13316
20160907,190,268,11165
20160908,189,257,9292
20160909,163,219,9180
20160910,95,130,5391
20160911,132,170,5784
20160912,193,272,12425
20160913,314,424,21265
20160914,206,276,10703
20160915,191,264,12470
20160916,150,208,10161
20160917,126,160,8035
20160918,128,170,6551
20160919,194,280,11178
20160920,180,241,13939
20160921,234,305,13544
20160922,295,386,20419
20160923,211,272,14619
20160924,183,229,9540
20160925,127,152,7268
20160926,173,247,9948
20160927,175,241,10595
20160928,184,231,10782
20160929,173,232,9869
20160930,185,247,9878
