Date,Users,Sessions,Total Events
20170701,249,315,12249
20170702,234,306,10486
20170703,412,519,19385
20170704,359,458,17704
20170705,447,591,20180
20170706,456,614,21385
20170707,387,518,20880
20170708,256,335,13315
20170709,279,359,14866
20170710,713,962,39590
20170711,1041,1553,69680
20170712,570,818,27638
20170713,347,466,16716
20170714,420,568,18516
20170715,237,286,10694
20170716,245,312,11781
20170717,341,471,18807
20170718,332,458,17000
20170719,435,599,26440
20170720,389,539,21514
20170721,327,465,15842
20170722,201,277,10685
20170723,265,328,12887
20170724,416,547,19613
20170725,398,561,22126
20170726,334,485,20063
20170727,269,392,12734
20170728,273,393,14791
20170729,189,262,11382
20170730,192,262,13647
20170731,284,409,15708
