Date,Users,Sessions,Total Events
20160501,226,277,13585
20160502,250,328,13323
20160503,253,319,12371
20160504,301,390,17268
20160505,587,773,37870
20160506,501,646,30564
20160507,361,458,21573
20160508,248,320,14718
20160509,283,356,15856
20160510,247,318,13033
20160511,209,261,9682
20160512,217,271,11698
20160513,193,253,10777
20160514,161,200,7833
20160515,183,222,11587
20160516,244,298,11814
20160517,214,277,11930
20160518,223,291,12258
20160519,274,331,12921
20160520,1057,1452,81617
20160521,649,811,38427
20160522,267,337,14354
20160523,329,418,18323
20160524,360,467,18260
20160525,442,529,16265
20160526,354,421,13010
20160527,274,359,16456
20160528,168,198,6319
20160529,140,160,6678
20160530,224,299,14965
20160531,218,300,12301
