Date,Users,Sessions,Total Events
20160801,201,274,11068
20160802,207,282,10795
20160803,236,321,12824
20160804,196,265,12055
20160805,198,278,11035
20160806,136,170,6283
20160807,125,158,7781
20160808,190,276,9406
20160809,187,276,11743
20160810,203,275,10528
20160811,205,277,8819
20160812,185,237,10343
20160813,135,178,6477
20160814,152,200,7059
20160815,197,272,10638
20160816,248,349,16843
20160817,265,412,20175
20160818,263,405,16503
20160819,206,299,14385
20160820,127,164,6615
20160821,148,192,9175
20160822,248,354,17244
20160823,358,439,12847
20160824,344,425,12325
20160825,215,306,13074
20160826,214,297,11012
20160827,141,181,8492
20160828,130,176,7182
20160829,209,277,11874
20160830,246,329,12682
20160831,261,327,10794
