Count,14759
Q1,245.0
Q3,1902.5
Min,0
Sum,33388629
Median,800
IQR,1657.5
Range,63814
Mode,[4]
Variance,23905753.303305782
Mean,2262.2555051155227
Max,63814
StdDev,4889.516658503203
